"","Early.Adopter","Fearful","Careful","Stubborn","Influencer","Uninterested","Homo.Economicus","X8"
"pattern_1",7,8,5,7,7,8,8,7
"pattern_2",8,8,3,6,9,7,9,8
"pattern_3",6,9,7,8,6,7,8,7
"pattern_4",6,9,6,8,6,7,8,7
"pattern_5",7,8,4,6,7,8,8,7
"pattern_6",7,9,5,8,8,6,9,8
"pattern_7",7,8,3,6,8,8,8,7
"pattern_8",6,9,8,8,5,7,8,7
"pattern_9",6,9,4,7,7,7,8,7
"pattern_10",6,9,6,7,6,7,8,7
"pattern_11",7,8,3,6,8,8,8,7
"pattern_12",6,9,7,8,5,7,8,7
"pattern_13",8,8,5,7,8,7,9,8
"pattern_14",7,9,6,8,7,6,9,8
"pattern_15",8,8,4,7,9,7,9,8
"pattern_16",7,9,5,7,7,6,9,8
"pattern_17",6,9,5,7,6,7,8,7
"pattern_18",9,8,4,7,9,8,9,9
"pattern_19",8,8,4,7,9,7,9,8
"pattern_20",8,8,3,6,8,9,8,8
"pattern_21",8,8,5,7,9,7,9,8
"pattern_22",7,8,4,7,8,8,8,7
"pattern_23",7,8,4,6,8,8,8,7
"pattern_24",7,9,7,8,6,6,9,8
"pattern_25",7,9,7,8,7,6,9,8
"pattern_26",6,9,5,7,6,7,8,7
"pattern_27",8,8,4,6,8,7,9,8
"pattern_28",6,9,6,8,7,7,8,7
"pattern_29",6,9,8,9,5,7,8,7
"pattern_30",8,8,5,7,8,9,8,8
"pattern_31",8,8,4,6,8,7,9,8
"pattern_32",6,9,7,9,6,7,8,7
"pattern_33",8,8,4,7,8,9,8,8
"pattern_34",7,8,4,6,7,8,8,7
"pattern_35",6,9,6,7,5,7,8,7
"pattern_36",7,8,5,7,8,8,8,7
"pattern_37",7,8,6,7,6,8,8,7
"pattern_38",8,8,5,6,8,7,9,8
"pattern_39",6,9,5,8,7,7,8,7
"pattern_40",7,9,7,9,7,6,9,8
"pattern_41",8,8,4,6,7,9,8,8
"pattern_42",8,8,5,7,8,7,9,8
"pattern_43",7,8,4,7,8,8,8,7
"pattern_44",6,9,6,8,6,7,8,7
"pattern_45",6,9,5,8,7,7,8,7
"pattern_46",6,9,8,9,6,7,8,7
"pattern_47",7,8,6,7,7,8,8,7
"pattern_48",8,8,6,7,7,7,9,8
"pattern_49",9,8,4,6,8,8,9,9
"pattern_50",9,8,6,7,8,8,9,9
"pattern_51",7,8,4,6,7,8,8,7
"pattern_52",7,8,5,6,6,8,8,7
"pattern_53",8,8,5,7,7,9,8,8
"pattern_54",7,8,5,6,7,8,8,7
"pattern_55",7,8,5,7,7,8,8,7
"pattern_56",7,8,6,7,7,8,8,7
"pattern_57",9,8,5,7,8,8,9,9
"pattern_58",8,8,6,7,8,7,9,8
"pattern_59",7,8,7,8,6,8,8,7
"pattern_60",7,8,5,7,7,8,8,7
"pattern_61",6,9,6,9,7,7,8,7
"pattern_62",8,8,7,8,7,7,9,8
"pattern_63",8,8,7,7,7,7,9,8
"pattern_64",7,8,6,8,7,8,8,7
"pattern_65",8,8,5,6,7,9,8,8
"pattern_66",7,9,5,8,7,8,8,8
"pattern_67",8,8,5,8,9,7,9,8
"pattern_68",8,8,5,7,8,7,9,8
"pattern_69",7,8,6,6,6,8,8,7
"pattern_70",8,8,6,8,8,7,9,8
"pattern_71",8,8,5,6,7,7,9,8
"pattern_72",7,8,6,8,8,8,8,7
"pattern_73",7,9,6,8,7,6,9,8
"pattern_74",8,9,6,8,7,7,9,9
"pattern_75",6,9,7,8,6,7,8,7
"pattern_76",7,8,5,6,6,8,8,7
"pattern_77",7,8,4,7,8,8,8,7
"pattern_78",8,8,6,7,7,9,8,8
"pattern_79",8,8,7,8,8,7,9,8
"pattern_80",7,8,6,7,7,8,8,7
"pattern_81",6,9,7,8,5,7,8,7
"pattern_82",7,8,7,7,6,8,8,7
"pattern_83",9,8,6,7,7,8,9,9
"pattern_84",7,8,5,6,7,8,8,7
"pattern_85",9,8,5,7,8,8,9,9
"pattern_86",8,8,6,7,8,7,9,8
"pattern_87",7,8,5,8,8,8,8,7
"pattern_88",6,9,6,8,6,7,8,7
"pattern_89",7,8,8,8,6,8,8,7
"pattern_90",8,8,6,7,7,9,8,8
"pattern_91",8,8,5,7,7,9,8,8
"pattern_92",7,9,7,8,6,8,8,8
"pattern_93",7,8,6,8,7,8,8,7
"pattern_94",7,8,6,7,6,8,8,7
"pattern_95",8,8,5,7,8,7,9,8
"pattern_96",8,8,6,7,7,7,9,8
"pattern_97",7,8,7,7,6,8,8,7
"pattern_98",8,8,7,7,6,9,8,8
"pattern_99",6,9,7,9,6,7,8,7
"pattern_100",7,9,5,7,6,8,8,8
"pattern_101",8,8,5,8,8,9,8,8
