"","Early.Adopter","Fearful","Careful","Stubborn","Influencer","Uninterested","Homo.Economicus","X8"
"pattern_1",8,8,3,6,9,7,9,8
"pattern_2",7,8,3,6,8,8,8,7
"pattern_3",8,8,3,6,8,9,8,8
"pattern_4",8,8,4,7,9,7,9,8
"pattern_5",9,8,4,7,9,8,9,9
"pattern_6",7,8,3,6,8,8,8,7
"pattern_7",8,8,5,7,9,7,9,8
"pattern_8",7,8,4,6,8,8,8,7
"pattern_9",8,8,4,6,8,7,9,8
"pattern_10",8,8,4,6,7,9,8,8
"pattern_11",9,8,4,6,8,8,9,9
"pattern_12",8,8,4,7,8,9,8,8
"pattern_13",7,8,4,6,7,8,8,7
"pattern_14",8,8,5,7,8,9,8,8
"pattern_15",6,9,4,7,7,7,8,7
"pattern_16",7,8,4,6,7,8,8,7
"pattern_17",7,9,5,8,8,6,9,8
"pattern_18",6,9,5,8,7,7,8,7
"pattern_19",7,8,5,7,7,8,8,7
"pattern_20",7,8,5,7,8,8,8,7
"pattern_21",7,8,5,7,7,8,8,7
"pattern_22",6,9,6,8,7,7,8,7
"pattern_23",7,8,5,6,6,8,8,7
"pattern_24",8,8,5,6,8,7,9,8
"pattern_25",7,9,5,8,7,8,8,8
"pattern_26",8,8,5,7,8,7,9,8
"pattern_27",6,9,5,7,6,7,8,7
"pattern_28",8,8,4,6,7,9,8,8
"pattern_29",8,8,5,7,7,9,8,8
"pattern_30",9,8,5,7,8,8,9,9
"pattern_31",7,8,6,7,7,8,8,7
"pattern_32",9,8,6,7,8,8,9,9
"pattern_33",7,9,5,7,6,8,8,8
"pattern_34",7,9,6,8,6,8,8,8
"pattern_35",6,9,7,8,5,7,8,7
"pattern_36",7,9,6,8,7,6,9,8
"pattern_37",8,8,6,7,7,7,9,8
"pattern_38",6,9,6,8,6,7,8,7
"pattern_39",8,8,6,7,6,9,8,8
"pattern_40",8,8,6,7,8,7,9,8
"pattern_41",8,8,5,6,7,9,8,8
"pattern_42",7,8,4,7,8,8,8,7
"pattern_43",7,8,5,6,7,8,8,7
"pattern_44",7,9,7,8,7,6,9,8
"pattern_45",8,8,5,6,7,7,9,8
"pattern_46",8,8,5,6,6,9,8,8
"pattern_47",8,8,7,7,7,7,9,8
"pattern_48",7,9,7,8,5,8,8,8
"pattern_49",7,8,4,6,7,8,8,7
"pattern_50",7,8,5,7,7,8,8,7
"pattern_51",7,8,5,8,8,8,8,7
"pattern_52",6,9,6,7,6,7,8,7
"pattern_53",9,8,6,7,7,8,9,9
"pattern_54",6,9,7,8,6,7,8,7
"pattern_55",7,9,5,7,7,6,9,8
"pattern_56",7,8,6,8,8,8,8,7
"pattern_57",8,9,6,8,7,7,9,9
"pattern_58",6,9,8,8,5,7,8,7
"pattern_59",7,8,4,7,8,8,8,7
"pattern_60",8,8,6,7,7,9,8,8
"pattern_61",6,9,7,9,6,7,8,7
"pattern_62",8,8,5,8,9,7,9,8
"pattern_63",8,8,5,8,8,9,8,8
"pattern_64",7,8,6,8,7,8,8,7
"pattern_65",8,8,4,6,8,7,9,8
"pattern_66",7,9,7,8,6,8,8,8
"pattern_67",6,9,6,7,5,7,8,7
"pattern_68",7,9,7,8,6,6,9,8
"pattern_69",7,8,7,7,6,8,8,7
"pattern_70",8,8,7,8,8,7,9,8
"pattern_71",7,8,7,8,6,8,8,7
"pattern_72",6,9,6,9,7,7,8,7
"pattern_73",7,8,6,8,7,8,8,7
"pattern_74",8,8,5,7,7,9,8,8
"pattern_75",8,8,5,7,8,7,9,8
"pattern_76",7,8,6,7,7,8,8,7
"pattern_77",6,9,6,8,6,7,8,7
"pattern_78",8,8,6,8,7,9,8,8
"pattern_79",8,8,7,7,6,9,8,8
"pattern_80",7,8,6,6,6,8,8,7
"pattern_81",8,8,7,8,7,9,8,8
"pattern_82",8,8,5,7,7,9,8,8
"pattern_83",7,8,6,7,6,8,8,7
"pattern_84",6,9,8,9,5,7,8,7
"pattern_85",7,9,7,9,6,8,8,8
"pattern_86",7,8,8,8,6,8,8,7
"pattern_87",6,9,8,9,6,7,8,7
"pattern_88",8,8,7,8,6,9,8,8
"pattern_89",8,8,7,8,7,7,9,8
