"","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful"
"pattern_1",0,0,0,0,1,0,0
"pattern_2",0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667
"pattern_3",0.5,0,0,0,0,0.333333333333333,0
"pattern_4",1,0,0,0,0,0.5,0
"pattern_5",0.333333333333333,0,0,0,0,0.25,0.25
"pattern_6",0,0,0,0,0,0,0
"pattern_7",0,0,0,0,0,0,0.25
"pattern_8",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.25,0.666666666666667
"pattern_9",0.333333333333333,0,0,0,0,0.25,0
"pattern_10",0.333333333333333,0,0,0,0,0.25,0
"pattern_11",0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667
"pattern_12",0.5,0,0,0,0,0.333333333333333,0
"pattern_13",0,0,0,0,0,0,0.333333333333333
"pattern_14",0.5,0.5,0,0.5,0,0.333333333333333,0.333333333333333
"pattern_15",0,1,0,1,0,0,0.5
"pattern_16",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_17",0.5,0,0,0,0,0.333333333333333,0
"pattern_18",0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.666666666666667
"pattern_19",0,0.5,0,0.5,0,0,1
"pattern_20",0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667
"pattern_21",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_22",0,0,0.333333333333333,0,0,0,0.25
"pattern_23",0,0,0,0,0,0,0.5
"pattern_24",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_25",0,0,0,0,0,0,0.25
"pattern_26",0,0.5,0,0.5,0,0,0.333333333333333
"pattern_27",0.333333333333333,0,0,0,0,0.25,0
"pattern_28",0.333333333333333,0,0,0,0,0.25,0.25
"pattern_29",0,0,0.333333333333333,0,0,0,0.25
"pattern_30",0.333333333333333,0,0,0,0,0.666666666666667,0
"pattern_31",0,0,0,0,0,0,0.25
"pattern_32",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_33",0.5,0,0,0,0,1,0
"pattern_34",0,0,0,0,0,0,0
"pattern_35",0,0,0,0,0,0,0
"pattern_36",0.333333333333333,0,0,0,0,0.25,0
"pattern_37",0,0,0.333333333333333,0,0,0,0.25
"pattern_38",0.5,0,0,0,0,0.333333333333333,0.333333333333333
"pattern_39",0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667
"pattern_40",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_41",0,0,0.333333333333333,0,0,0,0
"pattern_42",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.666666666666667,0.25
"pattern_43",0,0,0,0,0,0,0.25
"pattern_44",0,0,0,0,0,0,0.333333333333333
"pattern_45",0.333333333333333,0,0,0,0,0.25,0.25
"pattern_46",0.333333333333333,0,0,0,0,0.666666666666667,0
"pattern_47",0,0.5,0,0.5,0,0,0.333333333333333
"pattern_48",0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.25
"pattern_49",0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.25
"pattern_50",0.333333333333333,0,0,0,0,0.25,0.25
"pattern_51",0,0,0,0,0,0,0.25
"pattern_52",0,0,0,0,0,0,0
"pattern_53",0,0,0,0,0,0,0
"pattern_54",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_55",0,0,0.333333333333333,0,0,0,0.25
"pattern_56",0,0,0,0,0,0,0
"pattern_57",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_58",0,0,0,0,0,0.5,0
"pattern_59",0,0,0,0,0,0,0
"pattern_60",0,0,0.333333333333333,0,0,0,0
"pattern_61",0,0,0,0,0,0,0.25
"pattern_62",0,0,0,0,0,0.333333333333333,0
"pattern_63",0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.25
"pattern_64",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_65",0,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_66",0.333333333333333,0,0,0,0,0.666666666666667,0.25
"pattern_67",0,0,0,0,0,0,0
"pattern_68",0,0.5,0,0.5,0,0.333333333333333,0.333333333333333
"pattern_69",0.333333333333333,0,0,0,0,0.25,0
"pattern_70",0,0.333333333333333,0,0.333333333333333,0,0.25,0.666666666666667
"pattern_71",0.333333333333333,0,0.333333333333333,0,0,0.25,0.25
"pattern_72",0,0,0,0,0,0,0
"pattern_73",0,0,0,0,0,0.25,0.25
"pattern_74",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.25,0.25
"pattern_75",0,0.5,0,0.5,0,0,0.333333333333333
"pattern_76",0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.25
"pattern_77",0,0,0,0,0,0,0
"pattern_78",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_79",0,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_80",0,0,0.333333333333333,0,0,0,0
"pattern_81",0.333333333333333,0,0,0,0,0.25,0
"pattern_82",0,0.5,0,0.5,0,0,0.333333333333333
"pattern_83",0,0.5,0.5,0.5,0,0,0.333333333333333
"pattern_84",0,0,0,0,0,0.25,0
"pattern_85",0,0,0,0,0,0,0
"pattern_86",0.5,0,0,0,0,0.333333333333333,0
"pattern_87",0,0,0.5,0,0,0,0
"pattern_88",0,0,0,0,0,0.25,0
"pattern_89",0,0,0,0,0,0,0
"pattern_90",0,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_91",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_92",0,0,0,0,0,0.333333333333333,0
"pattern_93",0,0,0,0,0,0.333333333333333,0.333333333333333
"pattern_94",0,0,0,0,0,0.25,0.25
"pattern_95",0,0,0,0,0,0,0
"pattern_96",0,0,0.333333333333333,0,0,0,0
