"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_1",4432779,"Stubborn",3,0
"pattern_2",2488848,"Stubborn",3,0
"pattern_3",828052,"Stubborn",3,0
"pattern_4",81886,"Stubborn",4,0
"pattern_5",48900,"Stubborn",4,0
"pattern_6",47081,"Stubborn",2,0
"pattern_7",18248,"Stubborn",4,0
"pattern_8",13982,"Stubborn",3,0
"pattern_9",9722,"Stubborn",4,0
"pattern_10",5226,"Stubborn",4,0
"pattern_11",3908,"Stubborn",4,0
"pattern_12",3717,"Stubborn",4,0
"pattern_13",2917,"Stubborn",2,0
"pattern_14",2641,"Stubborn",4,0
"pattern_15",1751,"Stubborn",3,0
"pattern_16",979,"Stubborn",3,0
"pattern_17",895,"Stubborn",4,0
"pattern_18",850,"Stubborn",4,0
"pattern_19",812,"Stubborn",2,1
"pattern_20",729,"Stubborn",4,0
"pattern_21",673,"Stubborn",4,0
"pattern_22",599,"Stubborn",4,0
"pattern_23",572,"Stubborn",4,0
"pattern_24",546,"Stubborn",4,0
"pattern_25",414,"Stubborn",4,0
"pattern_26",371,"Stubborn",4,0
"pattern_27",370,"Stubborn",4,0
"pattern_28",336,"Stubborn",3,0
"pattern_29",278,"Stubborn",4,0
"pattern_30",263,"Fearful",4,0
"pattern_31",228,"Stubborn",4,0
"pattern_32",116,"Stubborn",5,0
"pattern_33",114,"Stubborn",4,0
"pattern_34",94,"Stubborn",5,0
"pattern_35",80,"Stubborn",5,0
"pattern_36",73,"Stubborn",5,0
"pattern_37",63,"Stubborn",5,0
"pattern_38",63,"Stubborn",4,0
"pattern_39",59,"Stubborn",5,0
"pattern_40",56,"Stubborn",5,0
"pattern_41",50,"Stubborn",4,0
"pattern_42",50,"Stubborn",3,0
"pattern_43",49,"Stubborn",4,0
"pattern_44",49,"Stubborn",5,0
"pattern_45",48,"Stubborn",4,0
"pattern_46",39,"Stubborn",4,0
"pattern_47",28,"Stubborn",5,0
"pattern_48",23,"Stubborn",5,0
"pattern_49",22,"Stubborn",3,0
"pattern_50",22,"Stubborn",4,0
"pattern_51",20,"Stubborn",4,0
"pattern_52",20,"Stubborn",4,0
"pattern_53",19,"Stubborn",5,0
"pattern_54",18,"Stubborn",5,0
"pattern_55",18,"Stubborn",4,0
"pattern_56",16,"Stubborn",4,0
"pattern_57",16,"Stubborn",5,0
"pattern_58",14,"Stubborn",5,0
"pattern_59",13,"Stubborn",2,0
"pattern_60",12,"Stubborn",5,0
"pattern_61",12,"Stubborn",5,0
"pattern_62",11,"Stubborn",4,0
"pattern_63",11,"Stubborn",4,0
"pattern_64",11,"Stubborn",3,0
"pattern_65",11,"Stubborn",3,0
"pattern_66",10,"Stubborn",5,0
"pattern_67",10,"Stubborn",4,0
"pattern_68",8,"Stubborn",5,0
"pattern_69",7,"Stubborn",5,0
"pattern_70",6,"Stubborn",5,0
"pattern_71",6,"Stubborn",5,0
"pattern_72",5,"Stubborn",4,0
"pattern_73",5,"Stubborn",4,0
"pattern_74",5,"Stubborn",3,0
"pattern_75",5,"Stubborn",4,0
"pattern_76",5,"Stubborn",4,0
"pattern_77",5,"Stubborn",4,0
"pattern_78",5,"Stubborn",5,0
"pattern_79",4,"Stubborn",5,0
"pattern_80",3,"Stubborn",4,0
"pattern_81",3,"Stubborn",5,0
"pattern_82",3,"Stubborn",4,0
"pattern_83",2,"Stubborn",4,0
"pattern_84",2,"Stubborn",5,0
"pattern_85",2,"Stubborn",5,0
"pattern_86",2,"Stubborn",5,0
"pattern_87",2,"Stubborn",5,0
"pattern_88",1,"Stubborn",5,0
"pattern_89",1,"Stubborn",5,0
