"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_1",2454574,"Careful",5,0
"pattern_2",1925014,"Careful",3,0.666666666666667
"pattern_3",770625,"Careful",7,0
"pattern_4",623923,"Careful",6,0
"pattern_5",244544,"Careful",4,0.666666666666667
"pattern_6",242964,"Careful",4,0.5
"pattern_7",233847,"Careful",3,0.666666666666667
"pattern_8",228131,"Careful",5,0.25
"pattern_9",210400,"Careful",6,0.25
"pattern_10",197114,"Careful",8,0
"pattern_11",124662,"Careful",4,0.25
"pattern_12",123316,"Careful",7,0
"pattern_13",119161,"Careful",3,1
"pattern_14",102416,"Careful",6,0
"pattern_15",88306,"Careful",5,0
"pattern_16",53067,"Careful",5,0.25
"pattern_17",43838,"Careful",5,0.333333333333333
"pattern_18",35259,"Careful",4,0.25
"pattern_19",33840,"Careful",4,0.333333333333333
"pattern_20",27605,"Careful",5,0.25
"pattern_21",21615,"Careful",7,0
"pattern_22",18958,"Careful",3,0.666666666666667
"pattern_23",17133,"Careful",4,0.5
"pattern_24",12043,"Careful",7,0
"pattern_25",11305,"Careful",4,0.666666666666667
"pattern_26",8418,"Careful",4,0.333333333333333
"pattern_27",7050,"Careful",5,0.25
"pattern_28",4413,"Careful",6,0.25
"pattern_29",2620,"Careful",5,0.25
"pattern_30",2093,"Careful",8,0
"pattern_31",1376,"Careful",5,0.25
"pattern_32",1326,"Careful",4,0.25
"pattern_33",1212,"Careful",7,0
"pattern_34",910,"Careful",4,0.333333333333333
"pattern_35",860,"Careful",6,0
"pattern_36",759,"Careful",6,0.25
"pattern_37",747,"Careful",4,0.25
"pattern_38",492,"Careful",5,0.333333333333333
"pattern_39",417,"Careful",5,0.25
"pattern_40",359,"Careful",5,0.25
"pattern_41",329,"Careful",4,0.25
"pattern_42",323,"Careful",7,0
"pattern_43",308,"Careful",6,0.25
"pattern_44",284,"Careful",4,0.333333333333333
"pattern_45",228,"Careful",6,0.25
"pattern_46",224,"Careful",8,0
"pattern_47",221,"Careful",6,0
"pattern_48",146,"Careful",6,0
"pattern_49",134,"Careful",4,0.25
"pattern_50",107,"Careful",5,0.25
"pattern_51",93,"Careful",4,0.666666666666667
"pattern_52",76,"Careful",5,0.25
"pattern_53",73,"Careful",5,0
"pattern_54",73,"Careful",6,0
"pattern_55",60,"Careful",5,0.25
"pattern_56",59,"Careful",5,0.333333333333333
"pattern_57",56,"Careful",7,0
"pattern_58",49,"Careful",6,0
"pattern_59",43,"Careful",6,0
"pattern_60",40,"Careful",5,0.25
"pattern_61",37,"Careful",5,0.25
"pattern_62",36,"Careful",7,0
"pattern_63",27,"Careful",5,0
"pattern_64",27,"Careful",5,0.25
"pattern_65",24,"Careful",7,0
"pattern_66",24,"Careful",6,0.25
"pattern_67",23,"Careful",6,0.25
"pattern_68",23,"Careful",6,0
"pattern_69",17,"Careful",7,0
"pattern_70",17,"Careful",5,0.25
"pattern_71",13,"Careful",5,0.25
"pattern_72",9,"Careful",7,0
"pattern_73",8,"Careful",6,0.25
"pattern_74",8,"Careful",6,0
"pattern_75",8,"Careful",5,0
"pattern_76",8,"Careful",6,0
"pattern_77",5,"Careful",5,0.25
"pattern_78",5,"Careful",6,0
"pattern_79",4,"Careful",7,0
"pattern_80",4,"Careful",6,0
"pattern_81",4,"Careful",7,0
"pattern_82",4,"Careful",6,0
"pattern_83",3,"Careful",5,0
"pattern_84",3,"Careful",6,0.25
"pattern_85",3,"Careful",5,0.333333333333333
"pattern_86",3,"Careful",6,0
"pattern_87",2,"Careful",5,0
"pattern_88",2,"Careful",8,0
"pattern_89",2,"Careful",7,0
"pattern_90",2,"Careful",5,0.25
"pattern_91",2,"Careful",6,0
"pattern_92",1,"Careful",6,0
"pattern_93",1,"Careful",5,0.333333333333333
"pattern_94",1,"Careful",5,0.25
"pattern_95",1,"Careful",6,0
"pattern_96",1,"Careful",7,0
