"","Early.Adopter","Fearful","Careful","Stubborn","Influencer","Uninterested","Homo.Economicus","Cluster8"
"pattern_2",15,15,15,15,15,15,15,15
"pattern_21",10,14,20,16,10,10,12,12
"pattern_10",8,14,20,16,8,10,10,12
"pattern_29",12,12,12,12,14,12,12,12
"pattern_15",13,13,13,13,15,13,13,13
"pattern_63",9,13,19,15,9,9,11,11
"pattern_28",14,4,6,4,18,12,8,8
"pattern_140",9,15,21,17,9,11,11,13
"pattern_82",7,15,21,17,7,9,11,11
"pattern_57",12,4,8,6,16,12,6,6
"pattern_352",10,14,20,16,8,8,12,12
"pattern_22",12,2,8,6,16,10,6,6
"pattern_92",14,14,14,14,14,14,14,14
"pattern_113",12,2,6,4,18,12,6,8
"pattern_142",10,12,18,14,10,10,10,10
"pattern_24",13,13,17,13,13,13,13,13
"pattern_68",11,15,21,17,9,9,13,13
"pattern_5",12,12,16,12,12,12,12,12
"pattern_48",13,11,11,11,13,13,11,13
"pattern_18",16,8,6,6,22,14,10,14
"pattern_249",10,8,14,12,10,8,4,8
"pattern_1",14,6,8,6,18,14,8,8
"pattern_123",12,4,10,8,16,12,6,6
"pattern_83",9,13,19,15,9,9,11,11
"pattern_151",10,10,16,14,10,8,6,8
"pattern_102",12,8,14,12,12,8,6,8
"pattern_184",9,15,21,17,9,9,13,11
"pattern_16",9,13,19,15,9,7,11,11
"pattern_233",18,10,8,10,22,16,12,14
"pattern_284",10,14,20,16,10,8,10,12
"pattern_165",8,14,20,16,8,8,12,10
"pattern_294",14,6,4,4,20,14,10,8
"pattern_60",16,6,6,6,20,14,10,10
"pattern_101",16,6,4,6,20,14,10,10
"pattern_144",10,10,16,12,10,8,6,10
"pattern_45",11,13,19,15,11,11,13,13
"pattern_56",11,13,19,15,11,11,11,11
"pattern_80",12,6,6,4,18,14,8,6
"pattern_177",14,12,12,12,14,14,12,14
"pattern_143",14,8,6,6,20,16,10,8
"pattern_39",14,4,8,6,18,12,8,8
"pattern_44",13,13,13,13,13,13,13,13
"pattern_298",7,13,19,15,7,9,9,11
"pattern_152",11,13,19,15,9,9,13,13
"pattern_223",12,12,18,14,12,12,12,12
"pattern_107",16,8,4,6,22,16,12,10
"pattern_186",11,11,11,11,15,11,11,11
"pattern_218",18,12,8,12,24,16,14,14
"pattern_852",6,16,20,16,8,10,12,10
"pattern_88",16,6,4,6,22,16,8,12
"pattern_623",14,4,4,4,20,14,8,10
"pattern_403",18,10,6,10,24,18,12,16
"pattern_13",14,6,10,8,16,12,8,8
"pattern_69",16,10,6,8,22,18,12,12
"pattern_115",10,12,18,14,10,10,12,12
"pattern_137",16,10,6,8,24,16,12,10
"pattern_190",16,12,8,10,24,18,14,18
"pattern_454",11,11,13,11,13,11,11,11
"pattern_64",12,14,20,16,10,10,14,14
"pattern_127",12,10,16,12,12,8,6,12
"pattern_120",9,13,19,15,9,7,9,11
"pattern_46",18,12,8,10,22,16,14,16
"pattern_175",18,8,6,8,22,16,10,12
"pattern_158",10,6,12,10,12,8,6,6
"pattern_72",16,12,8,10,24,16,14,12
"pattern_210",11,13,19,15,9,9,13,13
"pattern_86",8,14,18,14,10,10,12,10
"pattern_232",14,14,14,14,14,14,14,14
"pattern_587",18,10,8,10,24,14,12,12
"pattern_256",10,10,14,10,12,10,10,10
"pattern_354",11,11,17,13,11,11,11,11
"pattern_51",11,11,15,11,13,11,11,11
"pattern_239",12,8,14,12,12,10,4,8
"pattern_206",16,6,4,6,22,14,10,12
"pattern_262",12,12,12,12,16,14,12,12
"pattern_171",8,12,18,14,10,8,10,10
"pattern_32",7,15,19,15,9,11,11,11
"pattern_217",11,13,19,15,9,9,9,13
"pattern_78",18,10,6,10,22,18,12,14
"pattern_428",12,6,8,6,18,14,8,6
"pattern_613",9,13,17,13,11,11,11,9
"pattern_914",10,10,16,14,12,8,6,8
"pattern_520",14,14,16,14,14,14,14,14
"pattern_411",8,16,22,18,8,10,12,12
"pattern_59",16,10,8,10,24,18,12,16
"pattern_561",18,10,6,10,24,16,12,12
"pattern_52",13,9,11,9,13,11,9,11
"pattern_191",14,6,6,6,20,14,10,8
"pattern_772",12,4,6,4,18,12,8,6
"pattern_419",10,12,18,14,10,8,12,12
"pattern_269",10,4,8,6,16,12,6,4
"pattern_7",11,9,9,9,17,11,11,11
"pattern_387",6,14,20,16,6,8,10,10
"pattern_871",11,11,11,11,15,13,11,11
"pattern_547",10,16,22,18,8,8,14,12
"pattern_161",8,12,18,14,8,8,10,10
"pattern_254",10,12,18,14,8,8,8,12
"pattern_278",14,10,12,10,14,12,8,12
"pattern_148",12,10,10,10,14,12,10,12
"pattern_440",16,12,6,10,24,18,14,12
"pattern_130",12,4,8,6,16,10,8,6
"pattern_117",13,11,11,11,17,13,13,13
"pattern_26",5,15,19,15,7,9,11,9
"pattern_103",7,11,17,13,9,7,9,9
"pattern_372",16,12,10,12,24,16,14,14
"pattern_12",18,8,4,8,22,16,12,12
"pattern_98",12,12,14,12,14,12,12,12
"pattern_43",12,8,14,10,12,6,6,12
"pattern_94",11,9,15,11,11,7,5,11
"pattern_96",16,14,10,12,24,16,16,16
"pattern_180",10,8,14,10,12,8,4,10
"pattern_517",8,12,18,14,8,6,10,10
"pattern_865",10,10,16,14,10,10,6,10
"pattern_609",18,8,6,8,24,16,10,14
"pattern_231",14,10,10,10,14,12,10,12
"pattern_281",11,11,17,13,9,7,7,11
"pattern_574",11,11,17,13,11,11,11,11
"pattern_181",14,14,16,14,14,14,14,14
"pattern_442",11,15,21,17,9,9,11,13
"pattern_763",14,12,12,12,16,12,14,14
"pattern_703",12,6,10,8,14,10,6,6
"pattern_261",12,10,12,10,12,12,10,12
"pattern_839",12,10,10,10,16,12,12,12
"pattern_776",4,12,16,14,10,8,8,6
"pattern_255",3,13,17,13,9,7,9,7
"pattern_722",9,15,21,17,7,7,13,11
"pattern_437",11,11,15,11,11,11,11,11
"pattern_250",10,12,18,14,10,8,12,12
"pattern_141",13,13,15,13,13,13,13,13
"pattern_837",16,10,6,8,24,18,12,14
"pattern_153",11,13,17,13,11,11,11,11
"pattern_449",16,12,10,10,22,16,14,16
"pattern_215",4,12,16,12,10,8,8,8
"pattern_135",11,13,19,15,11,9,11,13
"pattern_1214",14,14,14,14,16,14,14,14
"pattern_58",6,12,18,14,8,8,8,10
"pattern_169",13,9,9,9,15,11,9,11
"pattern_390",7,15,19,15,9,9,13,9
"pattern_369",10,10,10,10,16,12,10,10
"pattern_942",14,6,8,6,18,12,10,8
"pattern_595",18,12,8,10,24,14,14,14
"pattern_33",13,11,13,11,13,13,11,13
"pattern_496",18,8,4,8,22,16,10,12
"pattern_199",16,10,8,10,22,18,12,14
"pattern_711",5,11,15,13,11,9,7,7
"pattern_964",15,9,11,9,15,11,9,13
