"pattern_id","cluster"
1,1
6,1
82,1
132,1
147,1
151,1
179,1
260,1
298,1
345,1
350,1
656,1
812,1
823,1
1193,1
1215,1
1417,1
1828,1
2200,1
2206,1
2615,1
3021,1
3581,1
3801,1
3861,1
4422,1
5200,1
6380,1
7020,1
7801,1
8188,1
8998,1
9027,1
9288,1
9336,1
9341,1
9358,1
9427,1
9438,1
9595,1
9626,1
10712,1
11306,1
11423,1
11516,1
13524,1
13834,1
14084,1
14483,1
15997,1
16434,1
17332,1
18981,1
19260,1
20744,1
20801,1
20960,1
21257,1
21791,1
22786,1
22835,1
23440,1
23498,1
23738,1
24251,1
24458,1
26344,1
26695,1
27283,1
27494,1
28437,1
29152,1
29931,1
30617,1
31216,1
31530,1
