"cluster","expert","vol_cluster","vol_expert","vol_common","pct_cluster_covered","pct_expert_covered","jaccard"
"cluster_1","Early Adopter",0,6,0,0,0,0
"cluster_1","Uninterested",0,5,0,0,0,0
"cluster_1","Homo Economicus",0,9,0,0,0,0
"cluster_1","Fearful",0,9,0,0,0,0
"cluster_1","Stubborn",0,3,0,0,0,0
"cluster_1","Influencer",0,3,0,0,0,0
"cluster_1","Careful",0,12,0,0,0,0
"cluster_1","Activist",0,6,0,0,0,0
"cluster_2","Early Adopter",15,6,3,20,50,16.6666666666667
"cluster_2","Uninterested",15,5,3,20,60,17.6470588235294
"cluster_2","Homo Economicus",15,9,7,46.6666666666667,77.7777777777778,41.1764705882353
"cluster_2","Fearful",15,9,9,60,100,60
"cluster_2","Stubborn",15,3,3,20,100,20
"cluster_2","Influencer",15,3,1,6.66666666666667,33.3333333333333,5.88235294117647
"cluster_2","Careful",15,12,10,66.6666666666667,83.3333333333333,58.8235294117647
"cluster_2","Activist",15,6,5,33.3333333333333,83.3333333333333,31.25
"cluster_3","Early Adopter",15,6,4,26.6666666666667,66.6666666666667,23.5294117647059
"cluster_3","Uninterested",15,5,3,20,60,17.6470588235294
"cluster_3","Homo Economicus",15,9,6,40,66.6666666666667,33.3333333333333
"cluster_3","Fearful",15,9,6,40,66.6666666666667,33.3333333333333
"cluster_3","Stubborn",15,3,3,20,100,20
"cluster_3","Influencer",15,3,2,13.3333333333333,66.6666666666667,12.5
"cluster_3","Careful",15,12,5,33.3333333333333,41.6666666666667,22.7272727272727
"cluster_3","Activist",15,6,4,26.6666666666667,66.6666666666667,23.5294117647059
"cluster_4","Early Adopter",9,6,2,22.2222222222222,33.3333333333333,15.3846153846154
"cluster_4","Uninterested",9,5,1,11.1111111111111,20,7.69230769230769
"cluster_4","Homo Economicus",9,9,3,33.3333333333333,33.3333333333333,20
"cluster_4","Fearful",9,9,1,11.1111111111111,11.1111111111111,5.88235294117647
"cluster_4","Stubborn",9,3,1,11.1111111111111,33.3333333333333,9.09090909090909
"cluster_4","Influencer",9,3,1,11.1111111111111,33.3333333333333,9.09090909090909
"cluster_4","Careful",9,12,1,11.1111111111111,8.33333333333333,5
"cluster_4","Activist",9,6,1,11.1111111111111,16.6666666666667,7.14285714285714
