"cluster","expert","vol_cluster","vol_expert","vol_common","pct_cluster_covered","pct_expert_covered","jaccard"
"cluster_1","Early Adopter",15,6,4,26.6666666666667,66.6666666666667,23.5294117647059
"cluster_1","Uninterested",15,5,3,20,60,17.6470588235294
"cluster_1","Homo Economicus",15,9,7,46.6666666666667,77.7777777777778,41.1764705882353
"cluster_1","Fearful",15,9,9,60,100,60
"cluster_1","Stubborn",15,3,3,20,100,20
"cluster_1","Influencer",15,3,1,6.66666666666667,33.3333333333333,5.88235294117647
"cluster_1","Careful",15,12,11,73.3333333333333,91.6666666666667,68.75
"cluster_1","Activist",15,6,6,40,100,40
"cluster_2","Early Adopter",15,6,4,26.6666666666667,66.6666666666667,23.5294117647059
"cluster_2","Uninterested",15,5,1,6.66666666666667,20,5.26315789473684
"cluster_2","Homo Economicus",15,9,6,40,66.6666666666667,33.3333333333333
"cluster_2","Fearful",15,9,6,40,66.6666666666667,33.3333333333333
"cluster_2","Stubborn",15,3,3,20,100,20
"cluster_2","Influencer",15,3,1,6.66666666666667,33.3333333333333,5.88235294117647
"cluster_2","Careful",15,12,9,60,75,50
"cluster_2","Activist",15,6,6,40,100,40
