"D","assigned_pct","unassigned_pct"
0,0.0374852736424976,99.9625147263575
1,0.208846524579629,99.7911534754204
2,4.34293670343794,95.6570632965621
3,5.98157866552426,94.0184213344757
4,37.3032023133769,62.6967976866231
5,39.0328799400236,60.9671200599764
6,72.603620006426,27.396379993574
7,71.6879083217308,28.3120916782693
8,85.9055371104209,14.0944628895791
9,86.451751097783,13.548248902217
10,96.6263253721752,3.37367462782478
11,97.4349362750348,2.56506372496519
12,99.4859162471886,0.514083752811396
13,99.7536682017779,0.246331798222127
14,100,0
15,100,0
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
