"scenario","type","K","D","assigned_pct","unassigned_pct"
"100-32","pos",1,0,0.00535503909178537,99.9946449609082
"100-32","pos",1,1,0.0321302345507122,99.9678697654493
"100-32","pos",1,2,0.872871371961015,99.127128628039
"100-32","pos",1,3,1.18881867837635,98.8111813216236
"100-32","pos",1,4,11.7703759237442,88.2296240762557
"100-32","pos",1,5,12.798543429367,87.201456570633
"100-32","pos",1,6,40.8375281139552,59.1624718860448
"100-32","pos",1,7,42.5297204669594,57.4702795330406
"100-32","pos",1,8,72.4483238727643,27.5516761272357
"100-32","pos",1,9,73.7549534111599,26.2450465888401
"100-32","pos",1,10,90.3502195566028,9.64978044339724
"100-32","pos",1,11,91.0035343258006,8.99646567419942
"100-32","pos",1,12,96.4496090821463,3.5503909178537
"100-32","pos",1,13,96.8191067794795,3.18089322052051
"100-32","pos",1,14,98.7415658134304,1.25843418656956
"100-32","pos",1,15,98.8433115561744,1.15668844382564
"100-32","pos",1,16,99.5126914426475,0.487308557352469
"100-32","pos",1,17,99.5555317553818,0.444468244618186
"100-32","pos",1,18,99.85005890543,0.14994109456999
"100-32","pos",1,19,99.8714790617971,0.128520938202849
"100-32","pos",1,20,99.9410945699904,0.0589054300096391
"100-32","pos",2,0,0.0107100781835707,99.9892899218164
"100-32","pos",2,1,0.0856806254685659,99.9143193745314
"100-32","pos",2,2,1.7564528221056,98.2435471778944
"100-32","pos",2,3,2.5971939595159,97.4028060404841
"100-32","pos",2,4,21.0560137089001,78.9439862910999
"100-32","pos",2,5,22.5768448109671,77.4231551890329
"100-32","pos",2,6,50.5944093391882,49.4055906608118
"100-32","pos",2,7,52.3294420049266,47.6705579950734
"100-32","pos",2,8,74.6331798222127,25.3668201777873
"100-32","pos",2,9,76.0308450251687,23.9691549748313
"100-32","pos",2,10,93.3490414480026,6.65095855199743
"100-32","pos",2,11,93.9970011781086,6.0029988218914
"100-32","pos",2,12,97.1243440077113,2.87565599228874
"100-32","pos",2,13,97.504551783228,2.49544821677198
"100-32","pos",2,14,99.1324836671308,0.86751633286923
"100-32","pos",2,15,99.2235193316911,0.776480668308879
"100-32","pos",2,16,99.7911534754204,0.208846524579629
"100-32","pos",2,17,99.8607689836136,0.13923101638642
"100-32","pos",2,18,99.9892899218164,0.0107100781835707
"100-32","pos",2,19,100,0
"100-32","pos",2,20,100,0
"100-32","pos",3,0,0.0160651172753561,99.9839348827246
"100-32","pos",3,1,0.123165899111064,99.8768341008889
"100-32","pos",3,2,2.22769626218271,97.7723037378173
"100-32","pos",3,3,3.28263896326443,96.7173610367356
"100-32","pos",3,4,22.978472742851,77.021527257149
"100-32","pos",3,5,24.8795116204348,75.1204883795652
"100-32","pos",3,6,54.3750669379886,45.6249330620114
"100-32","pos",3,7,55.5853057727321,44.4146942272679
"100-32","pos",3,8,79.3241940666167,20.6758059333833
"100-32","pos",3,9,80.7111491913891,19.2888508086109
"100-32","pos",3,10,93.8417050444468,6.15829495555318
"100-32","pos",3,11,94.4896647745528,5.51033522544715
"100-32","pos",3,12,98.0936060833244,1.90639391667559
"100-32","pos",3,13,98.5648495234015,1.43515047659848
"100-32","pos",3,14,99.6733426154011,0.326657384598908
"100-32","pos",3,15,99.7376030845025,0.262396915497483
"100-32","pos",3,16,99.9625147263575,0.0374852736424976
"100-32","pos",3,17,99.9839348827246,0.0160651172753561
"100-32","pos",3,18,100,0
"100-32","pos",3,19,100,0
"100-32","pos",3,20,100,0
"100-32","pos",4,0,0.0214201563671415,99.9785798436329
"100-32","pos",4,1,0.128520938202849,99.8714790617971
"100-32","pos",4,2,2.58112884224055,97.4188711577595
"100-32","pos",4,3,3.74852736424976,96.2514726357502
"100-32","pos",4,4,23.8727642711792,76.1272357288208
"100-32","pos",4,5,25.7684481096712,74.2315518903288
"100-32","pos",4,6,69.7226089750455,30.2773910249545
"100-32","pos",4,7,70.9221377316054,29.0778622683946
"100-32","pos",4,8,84.9630502302667,15.0369497697333
"100-32","pos",4,9,85.7823712113098,14.2176287886902
"100-32","pos",4,10,95.0465888400985,4.95341115990147
"100-32","pos",4,11,95.6784834529292,4.32151654707079
"100-32","pos",4,12,98.3345828424548,1.66541715754525
"100-32","pos",4,13,98.7255006961551,1.27449930384492
"100-32","pos",4,14,99.7911534754204,0.208846524579629
"100-32","pos",4,15,99.8339937881547,0.166006211845346
"100-32","pos",4,16,100,0
"100-32","pos",4,17,100,0
"100-32","pos",4,18,100,0
"100-32","pos",4,19,100,0
"100-32","pos",4,20,100,0
"100-32","pos",5,0,0.0267751954589269,99.9732248045411
"100-32","pos",5,1,0.144586055478205,99.8554139445218
"100-32","pos",5,2,2.97204669594088,97.0279533040591
