"scenario","type","reference","K","D","n_clusters","n_matched","pct_matched","mean_jaccard_exclusive"
"10-32","ext","experts",1,0,1,1,100,0
"10-32","ext","experts",1,1,1,1,100,0
"10-32","ext","experts",1,2,1,1,100,0
"10-32","ext","experts",1,3,1,1,100,0
"10-32","ext","experts",1,4,1,1,100,0
"10-32","ext","experts",1,5,1,1,100,0
"10-32","ext","experts",1,6,1,1,100,0
"10-32","ext","experts",1,7,1,1,100,0
"10-32","ext","experts",1,8,1,1,100,0
"10-32","ext","experts",1,9,1,1,100,0
"10-32","ext","experts",1,10,1,1,100,0
"10-32","ext","experts",1,11,1,1,100,0
"10-32","ext","experts",1,12,1,1,100,0
"10-32","ext","experts",1,13,1,1,100,0
"10-32","ext","experts",1,14,1,1,100,0
"10-32","ext","experts",1,15,1,1,100,0
"10-32","ext","experts",1,16,1,1,100,0
"10-32","ext","experts",1,17,1,1,100,0
"10-32","ext","experts",1,18,1,1,100,0
"10-32","ext","experts",1,19,1,1,100,0
"10-32","ext","experts",1,20,1,1,100,0
"10-32","ext","experts",2,0,2,2,100,7.14285714285714
"10-32","ext","experts",2,1,2,2,100,7.14285714285714
"10-32","ext","experts",2,2,2,2,100,7.14285714285714
"10-32","ext","experts",2,3,2,2,100,7.14285714285714
"10-32","ext","experts",2,4,2,2,100,7.14285714285714
"10-32","ext","experts",2,5,2,2,100,12.5
"10-32","ext","experts",2,6,2,2,100,12.5
"10-32","ext","experts",2,7,2,2,100,30
"10-32","ext","experts",2,8,2,2,100,30
"10-32","ext","experts",2,9,2,2,100,30
"10-32","ext","experts",2,10,2,2,100,30
"10-32","ext","experts",2,11,2,2,100,30
"10-32","ext","experts",2,12,2,2,100,30
"10-32","ext","experts",2,13,2,2,100,30
"10-32","ext","experts",2,14,2,2,100,30
"10-32","ext","experts",2,15,1,1,100,0
"10-32","ext","experts",2,16,1,1,100,0
"10-32","ext","experts",2,17,1,1,100,0
"10-32","ext","experts",2,18,1,1,100,0
"10-32","ext","experts",2,19,1,1,100,0
"10-32","ext","experts",2,20,1,1,100,0
"10-32","ext","experts",3,0,3,3,100,12.037037037037
"10-32","ext","experts",3,1,3,3,100,12.037037037037
"10-32","ext","experts",3,2,3,3,100,21.4285714285714
"10-32","ext","experts",3,3,3,3,100,24.7619047619048
"10-32","ext","experts",3,4,3,3,100,24.7619047619048
"10-32","ext","experts",3,5,3,3,100,28.3333333333333
"10-32","ext","experts",3,6,3,3,100,28.3333333333333
