"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,1,1,0.000125
2,7,1025,0.128125
3,35,117334,14.66675
4,135,154407,19.300875
5,403,223876,27.9845
6,990,305192,38.149
7,2005,353406,44.17575
8,3490,388963,48.620375
9,5386,419937,52.492125
10,7621,447198,55.89975
11,10113,470057,58.757125
12,14022,499985,62.498125
13,16037,518843,64.855375
14,20412,629976,78.747
15,20987,636198,79.52475
16,27918,783532,97.9415
17,27960,783584,97.948
18,32152,800000,100
19,32152,800000,100
20,32152,800000,100
