"","Early Adopter","Uninterested","Homo Economicus","Fearful","Stubborn","Influencer","Careful"
"pattern_3",20,11,10,7,10,19,8
"pattern_10",20,13,10,7,12,21,4
"pattern_9",20,15,10,11,8,19,12
"pattern_43",20,13,10,9,8,19,10
"pattern_19",20,13,8,7,14,21,6
"pattern_1",20,15,10,9,12,21,6
"pattern_8",20,11,10,5,12,19,6
"pattern_24",20,13,8,9,14,21,6
"pattern_41",20,11,8,5,12,19,8
"pattern_36",20,11,10,7,12,19,6
"pattern_13",20,9,10,5,12,19,6
"pattern_27",20,13,8,7,12,21,6
"pattern_15",20,13,10,7,12,19,6
"pattern_17",20,15,8,9,12,21,6
"pattern_42",20,13,8,7,12,21,6
"pattern_57",18,17,10,13,8,19,12
"pattern_6",20,13,10,9,10,21,6
"pattern_35",20,13,10,9,12,21,6
"pattern_82",20,13,10,7,10,19,8
"pattern_89",20,11,12,7,10,19,6
"pattern_53",20,13,8,7,12,19,10
"pattern_39",20,15,10,9,10,21,6
"pattern_78",20,11,10,7,12,21,4
"pattern_22",20,11,8,5,12,21,6
"pattern_7",18,17,12,13,8,17,12
"pattern_48",20,13,8,7,10,19,10
"pattern_175",22,11,10,7,12,21,10
"pattern_129",20,15,8,9,10,19,12
"pattern_61",18,19,12,15,8,19,10
"pattern_111",20,15,10,11,8,19,12
"pattern_62",20,13,6,7,12,19,10
"pattern_21",18,19,12,15,8,17,10
"pattern_227",20,13,10,9,8,21,8
"pattern_255",20,11,10,5,14,21,8
"pattern_135",20,11,6,5,14,19,10
"pattern_101",20,11,12,7,12,19,4
"pattern_75",20,13,8,7,10,21,8
"pattern_176",20,11,12,7,12,19,6
"pattern_115",18,15,12,13,8,17,14
"pattern_18",18,11,12,7,12,17,6
"pattern_140",20,15,8,9,12,21,8
"pattern_228",20,13,10,7,12,21,10
"pattern_86",20,11,10,7,14,19,6
"pattern_97",20,11,10,7,12,21,6
"pattern_171",20,13,12,9,10,19,6
"pattern_238",22,9,10,5,14,21,8
"pattern_330",20,13,12,7,14,21,6
"pattern_64",18,15,10,13,10,17,14
"pattern_60",18,17,10,13,8,19,10
"pattern_158",20,11,6,7,14,19,10
"pattern_26",19,16,9,10,11,20,7
"pattern_137",18,15,12,11,8,17,12
"pattern_33",22,11,10,7,14,21,8
"pattern_271",22,11,12,7,16,23,8
"pattern_139",20,13,6,7,12,21,8
"pattern_373",20,13,10,9,10,19,8
"pattern_117",22,11,12,7,14,23,10
"pattern_47",20,11,10,7,12,19,8
"pattern_276",22,11,12,7,12,19,6
"pattern_14",20,13,6,7,14,21,8
"pattern_131",20,15,8,9,12,19,10
"pattern_83",18,13,12,9,10,17,8
"pattern_80",17,18,11,14,7,18,11
"pattern_340",20,11,6,7,16,21,8
"pattern_105",20,11,10,7,10,19,10
"pattern_299",20,11,10,9,10,19,10
"pattern_180",20,13,8,7,14,21,8
"pattern_165",20,13,10,7,10,21,6
"pattern_274",20,15,10,9,8,19,12
"pattern_203",20,13,12,9,8,19,8
"pattern_44",20,9,10,5,12,19,8
"pattern_68",20,13,12,9,10,21,4
"pattern_144",18,19,10,15,8,19,12
"pattern_152",20,11,12,7,14,21,8
"pattern_181",18,11,10,7,12,17,8
"pattern_343",20,13,8,7,14,19,10
"pattern_196",20,11,10,7,10,21,6
"pattern_149",20,13,10,7,14,21,8
"pattern_94",20,9,8,5,14,19,8
"pattern_123",22,9,10,5,12,19,8
"pattern_84",22,13,12,9,14,23,10
"pattern_25",20,15,12,11,8,19,10
"pattern_45",22,9,12,7,14,21,8
"pattern_50",20,13,12,9,10,19,8
"pattern_4",19,12,9,6,11,20,5
"pattern_381",20,11,8,7,14,21,6
"pattern_205",20,11,10,7,12,19,6
"pattern_622",22,11,12,9,12,21,10
"pattern_328",20,11,12,9,8,19,10
"pattern_156",20,13,12,7,12,21,8
"pattern_298",18,13,12,9,12,19,4
"pattern_415",20,15,8,11,8,21,10
"pattern_79",22,11,12,9,12,21,8
"pattern_20",20,15,12,13,8,17,12
"pattern_268",18,13,14,9,14,21,8
"pattern_462",18,13,12,9,12,19,6
"pattern_425",20,15,12,11,8,17,10
"pattern_530",20,13,6,9,14,21,8
"pattern_352",20,13,8,9,10,19,10
"pattern_305",16,15,10,11,6,17,8
"pattern_162",20,17,10,11,10,21,8
"pattern_383",20,11,6,5,14,21,8
"pattern_5",22,11,10,7,14,23,6
"pattern_113",20,11,8,5,12,19,10
"pattern_249",16,15,8,9,8,17,8
"pattern_260",20,13,8,11,10,19,12
"pattern_173",20,11,8,7,12,19,10
"pattern_118",19,18,9,12,9,20,9
"pattern_635",18,17,10,13,6,19,10
"pattern_208",18,15,10,11,10,19,8
"pattern_34",20,11,12,9,10,19,8
"pattern_148",20,19,10,15,8,21,10
"pattern_985",20,11,6,7,14,21,8
"pattern_107",18,17,8,11,10,19,8
"pattern_545",18,15,10,9,10,19,6
"pattern_291",20,13,10,7,12,21,6
"pattern_345",20,11,12,7,12,19,6
"pattern_394",20,11,8,7,12,19,8
"pattern_128",18,17,12,15,8,17,12
"pattern_193",18,13,12,7,14,21,8
"pattern_29",20,13,8,7,12,19,8
"pattern_194",17,14,9,8,9,18,7
"pattern_308",20,13,10,7,14,23,6
"pattern_569",20,11,12,7,16,23,10
"pattern_717",17,16,11,12,7,18,7
"pattern_247",22,9,12,7,12,19,6
"pattern_341",18,17,14,15,8,15,12
"pattern_376",18,19,12,15,8,19,10
"pattern_252",20,9,8,3,14,19,8
"pattern_102",22,11,12,7,14,21,6
"pattern_237",20,11,8,5,14,21,6
"pattern_145",20,11,12,7,12,21,10
"pattern_589",15,14,9,10,7,16,7
"pattern_265",18,17,12,15,8,17,10
"pattern_160",18,13,12,9,10,19,6
"pattern_70",20,11,10,9,12,19,8
"pattern_240",20,9,8,5,14,19,8
"pattern_138",20,13,12,9,12,21,10
"pattern_37",20,11,10,7,12,17,8
"pattern_640",20,13,10,11,8,19,12
"pattern_874",20,13,10,9,10,21,8
"pattern_92",20,9,6,5,16,19,10
"pattern_319",22,11,14,9,14,23,10
"pattern_170",20,13,8,7,12,21,8
"pattern_166",20,15,12,9,12,21,8
"pattern_587",20,11,6,7,16,19,10
"pattern_365",22,9,12,7,12,19,8
"pattern_535",18,15,12,11,10,19,6
"pattern_204",20,11,14,9,16,23,10
"pattern_665",20,17,10,13,8,19,10
"pattern_471",20,9,12,7,12,17,8
