"D","n_patterns_covered","freq_covered","pct_covered"
0,1,11,0.001375
1,7,2477,0.309625
2,37,22758,2.84475
3,173,167883,20.985375
4,524,198992,24.874
5,1209,221802,27.72525
6,2209,244856,30.607
7,3547,282318,35.28975
8,5283,356293,44.536625
9,7482,423752,52.969
10,9959,473700,59.2125
11,12756,509856,63.732
12,23962,769829,96.228625
13,24799,772973,96.621625
14,30897,798128,99.766
15,31030,798314,99.78925
16,31753,799798,99.97475
17,31763,799808,99.976
18,31833,800000,100
19,31833,800000,100
20,31833,800000,100
