"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,2,9,0.001125
3,41,604,0.0755
4,135,2442,0.30525
5,660,22579,2.822375
6,1394,35822,4.47775
7,3745,120650,15.08125
8,5839,151304,18.913
9,10352,269283,33.660375
10,12901,316043,39.505375
11,18175,442200,55.275
12,19830,523900,65.4875
13,25116,633143,79.142875
14,25806,771873,96.484125
15,29605,794001,99.250125
16,29853,795734,99.46675
17,31387,799250,99.90625
18,31452,799389,99.923625
19,31796,799948,99.9935
20,31806,799960,99.995
