"pattern","freq","best_archetype_all","best_dist_all","best_sim_jaccard_all"
"pattern_1",112420,"Early.Adopter",15,0
"pattern_29",26230,"Early.Adopter",10,0.333333333333333
"pattern_8",14949,"Early.Adopter",8,0.466666666666667
"pattern_67",14531,"Early.Adopter",12,0.2
"pattern_6",14492,"Early.Adopter",13,0.133333333333333
"pattern_105",12257,"Early.Adopter",9,0.4
"pattern_70",12120,"Fearful",4,0.764705882352941
"pattern_66",8516,"Early.Adopter",9,0.4
"pattern_135",8013,"Fearful",4,0.764705882352941
"pattern_24",7937,"Early.Adopter",7,0.533333333333333
"pattern_52",6911,"Influencer",8,0.466666666666667
"pattern_193",5971,"Fearful",2,0.875
"pattern_147",5517,"Early.Adopter",14,0.0666666666666667
"pattern_95",5504,"Early.Adopter",10,0.333333333333333
"pattern_132",5405,"Early.Adopter",13,0.133333333333333
"pattern_45",5398,"Fearful",2,0.875
"pattern_43",5185,"Influencer",9,0.4
"pattern_57",4967,"Early.Adopter",12,0.2
"pattern_112",4601,"Fearful",11,0.266666666666667
"pattern_83",4253,"Careful",6,0.666666666666667
"pattern_102",4169,"Homo.Economicus",4,0.764705882352941
"pattern_206",3933,"Fearful",6,0.666666666666667
"pattern_258",3747,"Fearful",4,0.764705882352941
"pattern_7",3670,"Early.Adopter",9,0.4
"pattern_307",3532,"Homo.Economicus",6,0.666666666666667
"pattern_163",3382,"Early.Adopter",9,0.4
"pattern_197",3287,"Homo.Economicus",6,0.666666666666667
"pattern_80",3217,"Uninterested",7,0.533333333333333
"pattern_190",3099,"Careful",8,0.578947368421053
"pattern_84",3001,"Careful",4,0.764705882352941
"pattern_101",2981,"Uninterested",8,0.5
"pattern_79",2968,"Early.Adopter",8,0.466666666666667
"pattern_59",2939,"Fearful",6,0.666666666666667
"pattern_130",2936,"Careful",4,0.764705882352941
"pattern_160",2798,"Homo.Economicus",6,0.666666666666667
"pattern_75",2788,"Early.Adopter",11,0.266666666666667
"pattern_14",2769,"Early.Adopter",11,0.266666666666667
"pattern_71",2633,"Fearful",12,0.2
"pattern_362",2619,"Stubborn",4,0.764705882352941
"pattern_217",2526,"Fearful",4,0.764705882352941
"pattern_11",2519,"Careful",6,0.666666666666667
"pattern_345",2339,"Early.Adopter",13,0.133333333333333
"pattern_49",2296,"Early.Adopter",7,0.533333333333333
"pattern_269",2198,"Influencer",9,0.4
"pattern_216",2168,"Early.Adopter",12,0.2
"pattern_198",2116,"Careful",4,0.764705882352941
"pattern_9",2068,"Careful",6,0.666666666666667
"pattern_19",2068,"Early.Adopter",11,0.266666666666667
"pattern_252",2040,"Early.Adopter",6,0.6
"pattern_365",2010,"Careful",4,0.764705882352941
"pattern_494",1993,"Fearful",6,0.666666666666667
"pattern_5",1961,"Careful",8,0.578947368421053
"pattern_242",1922,"Fearful",4,0.764705882352941
"pattern_96",1797,"Careful",6,0.666666666666667
"pattern_16",1730,"Early.Adopter",10,0.333333333333333
"pattern_88",1706,"Influencer",10,0.333333333333333
"pattern_114",1639,"Early.Adopter",11,0.266666666666667
"pattern_786",1631,"Careful",8,0.578947368421053
"pattern_435",1626,"Homo.Economicus",6,0.666666666666667
"pattern_410",1597,"Careful",6,0.666666666666667
"pattern_437",1440,"Uninterested",7,0.5625
"pattern_390",1424,"Early.Adopter",10,0.333333333333333
"pattern_401",1423,"Careful",6,0.666666666666667
"pattern_284",1416,"Careful",8,0.578947368421053
"pattern_717",1416,"Careful",8,0.578947368421053
"pattern_318",1403,"Early.Adopter",8,0.466666666666667
"pattern_870",1396,"Influencer",9,0.4375
"pattern_391",1378,"Careful",8,0.578947368421053
"pattern_260",1363,"Early.Adopter",14,0.0666666666666667
"pattern_337",1359,"Early.Adopter",11,0.266666666666667
"pattern_148",1330,"Fearful",6,0.666666666666667
"pattern_525",1327,"Early.Adopter",11,0.266666666666667
"pattern_131",1295,"Homo.Economicus",4,0.764705882352941
"pattern_357",1282,"Early.Adopter",12,0.2
"pattern_184",1273,"Early.Adopter",7,0.533333333333333
"pattern_756",1247,"Early.Adopter",8,0.466666666666667
"pattern_478",1231,"Influencer",9,0.470588235294118
"pattern_757",1227,"Careful",6,0.666666666666667
"pattern_878",1224,"Careful",4,0.764705882352941
"pattern_490",1170,"Fearful",6,0.666666666666667
"pattern_668",1170,"Early.Adopter",9,0.4
"pattern_10",1142,"Fearful",9,0.4
"pattern_82",1140,"Early.Adopter",14,0.0666666666666667
"pattern_436",1138,"Careful",8,0.578947368421053
"pattern_194",1108,"Early.Adopter",8,0.466666666666667
"pattern_825",1070,"Uninterested",8,0.5
"pattern_81",1069,"Homo.Economicus",6,0.666666666666667
"pattern_346",1067,"Fearful",6,0.666666666666667
"pattern_233",1065,"Fearful",9,0.4
"pattern_237",1057,"Fearful",4,0.764705882352941
"pattern_236",1049,"Careful",6,0.666666666666667
"pattern_74",1028,"Fearful",4,0.764705882352941
"pattern_588",1024,"Early.Adopter",6,0.6
"pattern_154",1016,"Influencer",8,0.466666666666667
"pattern_445",979,"Influencer",8,0.529411764705882
"pattern_165",978,"Early.Adopter",8,0.466666666666667
"pattern_826",977,"Fearful",10,0.333333333333333
"pattern_56",975,"Homo.Economicus",8,0.466666666666667
"pattern_207",970,"Early.Adopter",11,0.266666666666667
"pattern_457",970,"Fearful",4,0.764705882352941
"pattern_1442",961,"Early.Adopter",5,0.666666666666667
"pattern_516",960,"Uninterested",6,0.666666666666667
"pattern_772",958,"Early.Adopter",7,0.533333333333333
"pattern_653",931,"Homo.Economicus",5,0.705882352941177
"pattern_273",927,"Fearful",11,0.266666666666667
"pattern_685",926,"Homo.Economicus",4,0.75
"pattern_557",918,"Careful",4,0.764705882352941
"pattern_657",918,"Uninterested",6,0.6
"pattern_32",912,"Early.Adopter",12,0.2
"pattern_255",910,"Careful",6,0.666666666666667
"pattern_55",908,"Careful",10,0.5
"pattern_129",907,"Careful",10,0.5
"pattern_328",873,"Homo.Economicus",6,0.666666666666667
"pattern_152",838,"Careful",6,0.666666666666667
"pattern_487",830,"Early.Adopter",11,0.266666666666667
"pattern_239",824,"Fearful",10,0.333333333333333
"pattern_350",815,"Early.Adopter",14,0.0666666666666667
"pattern_718",805,"Fearful",10,0.333333333333333
"pattern_647",799,"Fearful",12,0.2
"pattern_183",798,"Influencer",9,0.4375
"pattern_167",788,"Early.Adopter",3,0.8
"pattern_179",782,"Early.Adopter",13,0.133333333333333
"pattern_89",778,"Fearful",6,0.666666666666667
"pattern_472",778,"Uninterested",8,0.466666666666667
"pattern_34",776,"Fearful",10,0.333333333333333
"pattern_256",776,"Early.Adopter",4,0.75
"pattern_1099",776,"Uninterested",7,0.588235294117647
"pattern_386",775,"Careful",6,0.666666666666667
"pattern_866",773,"Early.Adopter",7,0.533333333333333
"pattern_218",758,"Early.Adopter",4,0.733333333333333
"pattern_384",734,"Early.Adopter",11,0.266666666666667
"pattern_511",734,"Early.Adopter",10,0.333333333333333
"pattern_579",733,"Early.Adopter",11,0.266666666666667
"pattern_322",723,"Fearful",11,0.266666666666667
"pattern_629",714,"Careful",8,0.578947368421053
"pattern_364",710,"Influencer",7,0.533333333333333
"pattern_823",708,"Early.Adopter",14,0.0666666666666667
"pattern_675",705,"Careful",10,0.5
"pattern_468",701,"Fearful",9,0.4
"pattern_264",697,"Early.Adopter",6,0.6
"pattern_600",697,"Early.Adopter",10,0.333333333333333
"pattern_65",692,"Uninterested",9,0.470588235294118
"pattern_578",692,"Careful",4,0.764705882352941
"pattern_77",666,"Careful",8,0.578947368421053
"pattern_28",665,"Fearful",6,0.666666666666667
"pattern_1185",656,"Careful",4,0.764705882352941
"pattern_1573",655,"Careful",4,0.764705882352941
"pattern_31",652,"Homo.Economicus",5,0.705882352941177
"pattern_521",640,"Early.Adopter",5,0.6875
"pattern_168",634,"Fearful",9,0.4375
"pattern_73",632,"Early.Adopter",12,0.2
"pattern_312",632,"Careful",2,0.875
"pattern_564",632,"Uninterested",9,0.4375
"pattern_122",608,"Fearful",11,0.266666666666667
"pattern_801",605,"Stubborn",7,0.5625
"pattern_20",598,"Stubborn",2,0.875
"pattern_1031",593,"Homo.Economicus",6,0.666666666666667
"pattern_724",592,"Fearful",6,0.666666666666667
"pattern_489",591,"Homo.Economicus",4,0.764705882352941
