"","Early Adopter","Uninterested","Homo Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"pattern_1",13,15,10,6,12,18,5,9
"pattern_17",15,15,10,8,12,18,7,11
"pattern_4",13,17,10,10,12,18,7,9
"pattern_18",13,17,10,8,12,18,5,9
"pattern_16",15,15,10,8,12,18,9,13
"pattern_49",15,15,12,10,12,18,9,11
"pattern_20",15,15,10,8,12,18,7,11
"pattern_23",15,15,8,6,12,18,7,11
"pattern_10",15,15,10,8,12,18,9,11
"pattern_11",15,15,10,6,12,18,7,11
"pattern_6",15,13,10,6,12,18,7,11
"pattern_40",15,15,8,6,12,18,7,11
"pattern_78",13,17,10,10,12,16,7,9
"pattern_163",15,17,10,8,12,18,7,11
"pattern_7",15,17,10,8,12,18,7,11
"pattern_94",13,15,12,8,12,18,5,9
"pattern_8",13,15,10,6,12,18,5,9
"pattern_44",15,15,12,10,12,18,9,13
"pattern_66",13,17,10,8,12,18,5,9
"pattern_72",15,15,10,8,12,18,7,11
"pattern_80",15,15,10,8,12,18,9,11
"pattern_2",13,17,10,8,12,18,5,9
"pattern_119",15,13,10,6,12,18,7,11
"pattern_67",13,19,12,12,12,16,7,9
"pattern_157",13,17,8,8,12,18,7,9
"pattern_35",15,13,8,6,12,18,7,11
"pattern_120",13,19,12,12,12,16,7,9
"pattern_12",13,17,10,10,12,18,9,9
"pattern_77",15,15,12,8,12,18,7,11
"pattern_156",15,15,10,8,12,18,7,13
"pattern_111",15,15,8,6,12,18,9,13
"pattern_212",15,17,12,10,12,18,7,13
"pattern_84",15,15,12,8,12,16,7,11
"pattern_87",15,15,12,10,12,18,9,13
"pattern_30",13,17,10,10,12,16,9,9
"pattern_9",13,19,12,12,12,16,7,9
"pattern_59",15,17,8,8,12,18,9,11
"pattern_42",13,17,12,10,12,18,7,9
"pattern_53",14,16,11,9,11,17,8,10
"pattern_41",13,15,8,6,12,18,5,9
"pattern_43",13,17,10,12,12,16,9,9
"pattern_236",15,15,10,8,12,18,9,11
"pattern_274",13,15,10,6,12,18,3,9
"pattern_95",15,13,10,8,12,18,9,13
"pattern_45",17,15,10,8,14,18,9,13
"pattern_178",13,17,12,8,12,18,5,9
"pattern_107",13,19,10,10,12,16,5,9
"pattern_22",15,15,8,6,12,18,9,13
"pattern_58",13,17,10,8,12,18,5,11
"pattern_55",15,13,8,6,12,18,11,13
"pattern_313",12,18,11,11,11,15,6,8
"pattern_36",13,17,10,8,12,18,7,9
"pattern_149",15,15,10,10,12,18,9,13
"pattern_139",13,17,10,10,12,18,7,9
"pattern_125",15,15,8,6,12,18,9,11
"pattern_132",13,13,10,6,12,18,5,9
"pattern_100",13,15,8,8,12,18,7,9
"pattern_243",13,15,10,8,12,18,5,9
"pattern_34",13,17,12,10,12,16,7,9
"pattern_39",13,17,12,8,12,16,5,9
"pattern_85",15,15,10,8,12,18,9,13
"pattern_131",13,17,14,12,12,18,9,15
"pattern_183",15,15,8,6,12,18,7,11
"pattern_275",17,15,12,10,14,20,9,11
"pattern_343",15,13,10,8,12,18,11,13
"pattern_93",15,15,10,8,12,18,11,13
"pattern_332",15,13,8,8,12,18,9,11
"pattern_168",13,19,12,12,12,16,7,9
"pattern_38",15,15,12,10,12,18,9,15
"pattern_62",13,15,10,10,12,18,7,11
"pattern_370",13,15,12,8,12,18,5,9
"pattern_162",15,17,10,10,12,18,11,11
"pattern_244",13,15,10,6,12,18,5,9
"pattern_129",13,15,10,8,12,18,7,11
"pattern_121",15,15,10,6,12,16,7,11
"pattern_170",15,13,10,8,12,18,9,13
"pattern_64",15,17,10,8,12,18,7,13
"pattern_50",13,17,12,10,12,18,7,13
"pattern_187",13,17,12,10,12,18,7,9
"pattern_15",13,17,12,10,12,18,5,11
"pattern_209",13,17,12,8,12,18,3,9
"pattern_323",15,15,8,8,12,18,9,11
"pattern_117",17,13,8,6,14,18,9,13
"pattern_423",13,17,12,10,12,18,7,11
"pattern_57",13,17,12,10,12,18,7,9
"pattern_374",12,18,11,11,11,17,8,8
"pattern_213",15,13,8,6,12,18,9,13
"pattern_259",13,17,10,10,12,18,7,11
"pattern_344",15,15,12,10,12,16,9,13
"pattern_108",15,13,8,6,12,18,9,11
"pattern_225",13,15,10,10,12,18,9,13
"pattern_138",15,15,12,8,12,16,7,11
"pattern_75",13,15,12,12,12,18,11,15
"pattern_367",13,17,8,8,12,18,7,9
"pattern_124",13,15,10,8,12,18,7,9
"pattern_151",13,17,8,8,12,18,5,9
"pattern_595",13,15,10,8,10,16,7,9
"pattern_277",13,17,10,8,12,18,7,9
"pattern_330",13,17,12,10,12,18,7,9
"pattern_52",13,17,10,12,12,18,9,9
"pattern_297",13,15,12,8,12,16,5,9
"pattern_416",15,15,8,6,12,18,9,11
"pattern_266",13,15,12,10,12,18,9,15
"pattern_89",17,13,10,8,14,20,9,11
"pattern_227",11,15,8,8,8,14,7,7
"pattern_335",15,13,10,10,12,18,11,13
"pattern_112",15,15,12,8,12,18,7,11
"pattern_61",13,17,10,12,12,16,9,9
"pattern_321",13,15,8,6,12,18,7,9
"pattern_383",13,17,10,10,10,16,9,9
"pattern_134",13,17,10,8,12,18,7,13
"pattern_346",14,14,9,7,11,17,6,10
"pattern_48",15,15,10,10,12,18,9,11
