"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,2,4,5e-04
3,42,4991,0.623875
4,82,5893,0.736625
5,707,188159,23.519875
6,958,198274,24.78425
7,3864,557225,69.653125
8,4264,566256,70.782
9,10127,756884,94.6105
10,10322,757504,94.688
11,15643,793901,99.237625
12,15737,794127,99.265875
13,17955,798689,99.836125
14,17997,798839,99.854875
15,18492,799568,99.946
16,18504,799587,99.948375
17,18627,799834,99.97925
18,18632,799891,99.986375
19,18666,799989,99.998625
20,18666,799989,99.998625
