"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_2",2760156,"Careful",3,0.4
"pattern_3",2203514,"Careful",7,0.222222222222222
"pattern_4",1201147,"Careful",3,0.5
"pattern_1",626171,"Careful",4,0.333333333333333
"pattern_5",213752,"Careful",6,0.25
"pattern_9",189333,"Careful",3,0.666666666666667
"pattern_7",187315,"Careful",3,0.5
"pattern_8",172540,"Careful",4,0.333333333333333
"pattern_11",168301,"Careful",5,0.285714285714286
"pattern_15",51323,"Careful",6,0.25
"pattern_14",49306,"Careful",4,0.4
"pattern_6",47081,"Careful",3,1
"pattern_10",36726,"Careful",5,0.285714285714286
"pattern_12",25362,"Careful",5,0.285714285714286
"pattern_17",24218,"Careful",6,0.25
"pattern_20",14963,"Careful",5,0.285714285714286
"pattern_13",7860,"Careful",4,0.333333333333333
"pattern_19",3275,"Careful",3,0.666666666666667
"pattern_22",2917,"Careful",4,0.5
"pattern_18",2557,"Careful",3,0.666666666666667
"pattern_21",2037,"Careful",5,0.333333333333333
"pattern_26",2034,"Careful",7,0.25
"pattern_23",903,"Careful",6,0.285714285714286
"pattern_34",812,"Careful",5,0
"pattern_16",735,"Careful",4,0.4
"pattern_28",723,"Careful",4,0.4
"pattern_31",690,"Careful",6,0.285714285714286
"pattern_27",666,"Careful",5,0.285714285714286
"pattern_25",573,"Careful",4,0.4
"pattern_24",559,"Careful",6,0.25
"pattern_30",513,"Careful",4,0.333333333333333
"pattern_36",459,"Careful",5,0.333333333333333
"pattern_32",336,"Careful",4,0.333333333333333
"pattern_33",273,"Careful",5,0.333333333333333
"pattern_29",208,"Careful",3,0.5
"pattern_35",172,"Careful",5,0.285714285714286
"pattern_37",160,"Careful",5,0.333333333333333
"pattern_41",85,"Careful",6,0.285714285714286
"pattern_40",68,"Careful",6,0.285714285714286
"pattern_39",30,"Careful",4,0.4
"pattern_44",25,"Careful",5,0.333333333333333
"pattern_38",22,"Careful",4,0.333333333333333
"pattern_43",13,"Careful",4,0.5
"pattern_47",11,"Careful",6,0
"pattern_53",11,"Careful",4,0.333333333333333
"pattern_61",9,"Careful",4,0.25
"pattern_48",7,"Careful",5,0.333333333333333
"pattern_46",6,"Careful",8,0.111111111111111
"pattern_57",6,"Careful",4,0.5
"pattern_42",5,"Careful",5,0
"pattern_51",5,"Careful",8,0.125
"pattern_49",3,"Careful",4,0.5
"pattern_52",3,"Careful",4,0.5
"pattern_50",2,"Careful",4,0.4
"pattern_54",2,"Careful",9,0
"pattern_55",2,"Careful",4,0.25
"pattern_58",2,"Careful",5,0.333333333333333
"pattern_59",2,"Careful",4,0.5
"pattern_64",2,"Careful",4,0.4
"pattern_45",1,"Careful",8,0
"pattern_56",1,"Careful",6,0.285714285714286
"pattern_60",1,"Careful",4,0.4
"pattern_62",1,"Careful",4,0.2
"pattern_63",1,"Careful",4,0.5
"pattern_65",1,"Careful",8,0
"pattern_66",1,"Careful",6,0.2
"pattern_67",1,"Careful",5,0.4
"pattern_68",1,"Careful",6,0.285714285714286
