"pattern","expert","freq","jaccard","freq_jaccard"
"pattern_2","Early Adopter",274209,0,0
"pattern_2","Uninterested",274209,0,0
"pattern_2","Homo Economicus",274209,0,0
"pattern_2","Fearful",274209,0,0
"pattern_2","Stubborn",274209,0,0
"pattern_2","Influencer",274209,0,0
"pattern_2","Careful",274209,0,0
"pattern_2","Activist",274209,0,0
"pattern_5","Early Adopter",219348,0,0
"pattern_5","Uninterested",219348,0,0
"pattern_5","Homo Economicus",219348,0,0
"pattern_5","Fearful",219348,0,0
"pattern_5","Stubborn",219348,0,0
"pattern_5","Influencer",219348,0,0
"pattern_5","Careful",219348,0,0
"pattern_5","Activist",219348,0,0
"pattern_4","Early Adopter",119957,0,0
"pattern_4","Uninterested",119957,0,0
"pattern_4","Homo Economicus",119957,0,0
"pattern_4","Fearful",119957,0,0
"pattern_4","Stubborn",119957,0,0
"pattern_4","Influencer",119957,0,0
"pattern_4","Careful",119957,0,0
"pattern_4","Activist",119957,0,0
"pattern_3","Early Adopter",66268,0,0
"pattern_3","Uninterested",66268,0,0
"pattern_3","Homo Economicus",66268,0,0
"pattern_3","Fearful",66268,0,0
"pattern_3","Stubborn",66268,0,0
"pattern_3","Influencer",66268,0,0
"pattern_3","Careful",66268,0,0
"pattern_3","Activist",66268,0,0
"pattern_13","Early Adopter",21264,0,0
"pattern_13","Uninterested",21264,0,0
"pattern_13","Homo Economicus",21264,0,0
"pattern_13","Fearful",21264,0,0
"pattern_13","Stubborn",21264,0,0
"pattern_13","Influencer",21264,0,0
"pattern_13","Careful",21264,0,0
"pattern_13","Activist",21264,0,0
"pattern_11","Early Adopter",19817,0,0
"pattern_11","Uninterested",19817,0,0
"pattern_11","Homo Economicus",19817,0,0
"pattern_11","Fearful",19817,0,0
"pattern_11","Stubborn",19817,0,0
"pattern_11","Influencer",19817,0,0
"pattern_11","Careful",19817,0,0
"pattern_11","Activist",19817,0,0
"pattern_6","Early Adopter",18340,0,0
"pattern_6","Uninterested",18340,0,0
"pattern_6","Homo Economicus",18340,0,0
"pattern_6","Fearful",18340,0,0
"pattern_6","Stubborn",18340,0,0
"pattern_6","Influencer",18340,0,0
"pattern_6","Careful",18340,0,0
"pattern_6","Activist",18340,0,0
"pattern_12","Early Adopter",15183,0,0
"pattern_12","Uninterested",15183,0,0
"pattern_12","Homo Economicus",15183,0,0
"pattern_12","Fearful",15183,0,0
"pattern_12","Stubborn",15183,0,0
"pattern_12","Influencer",15183,0,0
"pattern_12","Careful",15183,0,0
"pattern_12","Activist",15183,0,0
"pattern_8","Early Adopter",14518,0,0
"pattern_8","Uninterested",14518,0,0
"pattern_8","Homo Economicus",14518,0,0
"pattern_8","Fearful",14518,0,0
"pattern_8","Stubborn",14518,0,0
"pattern_8","Influencer",14518,0,0
"pattern_8","Careful",14518,0,0
"pattern_8","Activist",14518,0,0
"pattern_7","Early Adopter",6832,0,0
"pattern_7","Uninterested",6832,0,0
"pattern_7","Homo Economicus",6832,0,0
"pattern_7","Fearful",6832,0,0
"pattern_7","Stubborn",6832,0,0
"pattern_7","Influencer",6832,0,0
"pattern_7","Careful",6832,0,0
"pattern_7","Activist",6832,0,0
"pattern_10","Early Adopter",5340,0,0
"pattern_10","Uninterested",5340,0,0
"pattern_10","Homo Economicus",5340,0,0
"pattern_10","Fearful",5340,0,0
"pattern_10","Stubborn",5340,0,0
"pattern_10","Influencer",5340,0,0
"pattern_10","Careful",5340,0,0
"pattern_10","Activist",5340,0,0
"pattern_9","Early Adopter",4663,0,0
"pattern_9","Uninterested",4663,0,0
"pattern_9","Homo Economicus",4663,0,0
"pattern_9","Fearful",4663,0,0
"pattern_9","Stubborn",4663,0,0
"pattern_9","Influencer",4663,0,0
"pattern_9","Careful",4663,0,0
"pattern_9","Activist",4663,0,0
"pattern_14","Early Adopter",3979,0,0
"pattern_14","Uninterested",3979,0,0
"pattern_14","Homo Economicus",3979,0,0
"pattern_14","Fearful",3979,0,0
"pattern_14","Stubborn",3979,0,0
"pattern_14","Influencer",3979,0,0
"pattern_14","Careful",3979,0,0
"pattern_14","Activist",3979,0,0
"pattern_1","Early Adopter",2709,0,0
"pattern_1","Uninterested",2709,0,0
"pattern_1","Homo Economicus",2709,0,0
"pattern_1","Fearful",2709,0,0
"pattern_1","Stubborn",2709,0,0
"pattern_1","Influencer",2709,0,0
"pattern_1","Careful",2709,0,0
"pattern_1","Activist",2709,0,0
"pattern_15","Early Adopter",2365,0,0
"pattern_15","Uninterested",2365,0,0
"pattern_15","Homo Economicus",2365,0,0
"pattern_15","Fearful",2365,0,0
"pattern_15","Stubborn",2365,0,0
"pattern_15","Influencer",2365,0,0
"pattern_15","Careful",2365,0,0
"pattern_15","Activist",2365,0,0
"pattern_18","Early Adopter",1709,0,0
"pattern_18","Uninterested",1709,0,0
"pattern_18","Homo Economicus",1709,0,0
"pattern_18","Fearful",1709,0,0
"pattern_18","Stubborn",1709,0,0
"pattern_18","Influencer",1709,0,0
"pattern_18","Careful",1709,0,0
"pattern_18","Activist",1709,0,0
"pattern_21","Early Adopter",1153,0,0
"pattern_21","Uninterested",1153,0,0
"pattern_21","Homo Economicus",1153,0,0
"pattern_21","Fearful",1153,0,0
"pattern_21","Stubborn",1153,0,0
"pattern_21","Influencer",1153,0,0
"pattern_21","Careful",1153,0,0
"pattern_21","Activist",1153,0,0
"pattern_17","Early Adopter",373,0,0
"pattern_17","Uninterested",373,0,0
"pattern_17","Homo Economicus",373,0,0
"pattern_17","Fearful",373,0,0
"pattern_17","Stubborn",373,0,0
"pattern_17","Influencer",373,0,0
"pattern_17","Careful",373,0,0
"pattern_17","Activist",373,0,0
"pattern_23","Early Adopter",334,0,0
"pattern_23","Uninterested",334,0,0
"pattern_23","Homo Economicus",334,0,0
"pattern_23","Fearful",334,0,0
"pattern_23","Stubborn",334,0,0
"pattern_23","Influencer",334,0,0
"pattern_23","Careful",334,0,0
"pattern_23","Activist",334,0,0
"pattern_26","Early Adopter",280,0,0
"pattern_26","Uninterested",280,0,0
"pattern_26","Homo Economicus",280,0,0
"pattern_26","Fearful",280,0,0
"pattern_26","Stubborn",280,0,0
"pattern_26","Influencer",280,0,0
"pattern_26","Careful",280,0,0
"pattern_26","Activist",280,0,0
"pattern_19","Early Adopter",261,0,0
"pattern_19","Uninterested",261,0,0
"pattern_19","Homo Economicus",261,0,0
"pattern_19","Fearful",261,0,0
"pattern_19","Stubborn",261,0,0
"pattern_19","Influencer",261,0,0
"pattern_19","Careful",261,0,0
"pattern_19","Activist",261,0,0
"pattern_16","Early Adopter",153,0,0
"pattern_16","Uninterested",153,0,0
"pattern_16","Homo Economicus",153,0,0
"pattern_16","Fearful",153,0,0
"pattern_16","Stubborn",153,0,0
"pattern_16","Influencer",153,0,0
"pattern_16","Careful",153,0,0
"pattern_16","Activist",153,0,0
"pattern_31","Early Adopter",121,0,0
"pattern_31","Uninterested",121,0,0
"pattern_31","Homo Economicus",121,0,0
"pattern_31","Fearful",121,0,0
"pattern_31","Stubborn",121,0,0
"pattern_31","Influencer",121,0,0
"pattern_31","Careful",121,0,0
"pattern_31","Activist",121,0,0
"pattern_29","Early Adopter",94,0,0
"pattern_29","Uninterested",94,0,0
"pattern_29","Homo Economicus",94,0,0
"pattern_29","Fearful",94,0,0
"pattern_29","Stubborn",94,0,0
"pattern_29","Influencer",94,0,0
"pattern_29","Careful",94,0,0
"pattern_29","Activist",94,0,0
"pattern_34","Early Adopter",94,0,0
"pattern_34","Uninterested",94,0,0
"pattern_34","Homo Economicus",94,0,0
"pattern_34","Fearful",94,0,0
"pattern_34","Stubborn",94,0,0
"pattern_34","Influencer",94,0,0
"pattern_34","Careful",94,0,0
"pattern_34","Activist",94,0,0
"pattern_22","Early Adopter",81,0,0
"pattern_22","Uninterested",81,0,0
"pattern_22","Homo Economicus",81,0,0
"pattern_22","Fearful",81,0,0
"pattern_22","Stubborn",81,0,0
"pattern_22","Influencer",81,0,0
"pattern_22","Careful",81,0,0
"pattern_22","Activist",81,0,0
"pattern_28","Early Adopter",80,0,0
"pattern_28","Uninterested",80,0,0
"pattern_28","Homo Economicus",80,0,0
"pattern_28","Fearful",80,0,0
"pattern_28","Stubborn",80,0,0
"pattern_28","Influencer",80,0,0
"pattern_28","Careful",80,0,0
"pattern_28","Activist",80,0,0
