"determinante","n_clusters"
"PROFITS",4
"CREDIT.SCORE",4
"RISK.PROFILE",4
"ADDED.VALUE",3
"FRUGALITY",1
"CLIMATE.PROTECTION",3
"LEGAL",3
"TRUST",3
"SAFETY",3
"COST.EFFICIENCY",3
"KNOWLEDGE",2
"OWN.COMPETENCE",3
"TECHNICAL.FIT",2
"ENVIRONMENTAL.CONCERNS",4
"SELF.SATISFACTION",4
"COMMITMENT",4
"ADHERENCE",4
"AUTARKY",3
"WELLBEING",2
"COZINESS",3
"RIGHTS.AND.DUTIES",4
"PEER.PRESSURE",1
"SUPPORT",2
"SOCIALISING",3
"AGREEMENT",3
"NOVELTY",2
"FUN",4
"RECOGNITION",3
"TRENDS",3
"AUTHORITY",3
"OWN.SIGNIFICANCE",2
"APPROVAL",4
