"cluster","expert_row","vol_cluster","vol_expert","vol_common","pct_cluster_covered","pct_expert_covered"
1,"",15,0,0,0,0
1,"Early.Adopter",15,14,7,46.6666666666667,50
1,"Fearful",15,14,11,73.3333333333333,78.5714285714286
1,"Careful",15,15,13,86.6666666666667,86.6666666666667
1,"Stubborn",15,14,12,80,85.7142857142857
1,"Influencer",15,13,4,26.6666666666667,30.7692307692308
1,"Uninterested",15,13,7,46.6666666666667,53.8461538461538
1,"Homo.Economicus",15,14,9,60,64.2857142857143
1,"8",15,14,10,66.6666666666667,71.4285714285714
2,"",15,0,0,0,0
2,"Early.Adopter",15,14,6,40,42.8571428571429
2,"Fearful",15,14,11,73.3333333333333,78.5714285714286
2,"Careful",15,15,13,86.6666666666667,86.6666666666667
2,"Stubborn",15,14,11,73.3333333333333,78.5714285714286
2,"Influencer",15,13,3,20,23.0769230769231
2,"Uninterested",15,13,6,40,46.1538461538462
2,"Homo.Economicus",15,14,10,66.6666666666667,71.4285714285714
2,"8",15,14,8,53.3333333333333,57.1428571428571
3,"",15,0,0,0,0
3,"Early.Adopter",15,14,6,40,42.8571428571429
3,"Fearful",15,14,10,66.6666666666667,71.4285714285714
3,"Careful",15,15,12,80,80
3,"Stubborn",15,14,11,73.3333333333333,78.5714285714286
3,"Influencer",15,13,5,33.3333333333333,38.4615384615385
3,"Uninterested",15,13,6,40,46.1538461538462
3,"Homo.Economicus",15,14,8,53.3333333333333,57.1428571428571
3,"8",15,14,9,60,64.2857142857143
4,"",15,0,0,0,0
4,"Early.Adopter",15,14,5,33.3333333333333,35.7142857142857
4,"Fearful",15,14,10,66.6666666666667,71.4285714285714
4,"Careful",15,15,11,73.3333333333333,73.3333333333333
4,"Stubborn",15,14,10,66.6666666666667,71.4285714285714
4,"Influencer",15,13,4,26.6666666666667,30.7692307692308
4,"Uninterested",15,13,7,46.6666666666667,53.8461538461538
4,"Homo.Economicus",15,14,9,60,64.2857142857143
4,"8",15,14,8,53.3333333333333,57.1428571428571
5,"",15,0,0,0,0
5,"Early.Adopter",15,14,6,40,42.8571428571429
5,"Fearful",15,14,10,66.6666666666667,71.4285714285714
5,"Careful",15,15,13,86.6666666666667,86.6666666666667
5,"Stubborn",15,14,11,73.3333333333333,78.5714285714286
5,"Influencer",15,13,4,26.6666666666667,30.7692307692308
5,"Uninterested",15,13,5,33.3333333333333,38.4615384615385
5,"Homo.Economicus",15,14,8,53.3333333333333,57.1428571428571
5,"8",15,14,8,53.3333333333333,57.1428571428571
6,"",15,0,0,0,0
6,"Early.Adopter",15,14,6,40,42.8571428571429
6,"Fearful",15,14,10,66.6666666666667,71.4285714285714
6,"Careful",15,15,11,73.3333333333333,73.3333333333333
6,"Stubborn",15,14,10,66.6666666666667,71.4285714285714
6,"Influencer",15,13,4,26.6666666666667,30.7692307692308
6,"Uninterested",15,13,6,40,46.1538461538462
6,"Homo.Economicus",15,14,9,60,64.2857142857143
6,"8",15,14,8,53.3333333333333,57.1428571428571
7,"",15,0,0,0,0
7,"Early.Adopter",15,14,6,40,42.8571428571429
7,"Fearful",15,14,11,73.3333333333333,78.5714285714286
7,"Careful",15,15,12,80,80
7,"Stubborn",15,14,11,73.3333333333333,78.5714285714286
7,"Influencer",15,13,3,20,23.0769230769231
7,"Uninterested",15,13,6,40,46.1538461538462
7,"Homo.Economicus",15,14,9,60,64.2857142857143
7,"8",15,14,8,53.3333333333333,57.1428571428571
8,"",14,0,0,0,0
8,"Early.Adopter",14,14,5,35.7142857142857,35.7142857142857
8,"Fearful",14,14,10,71.4285714285714,71.4285714285714
8,"Careful",14,15,12,85.7142857142857,80
8,"Stubborn",14,14,10,71.4285714285714,71.4285714285714
8,"Influencer",14,13,3,21.4285714285714,23.0769230769231
8,"Uninterested",14,13,6,42.8571428571429,46.1538461538462
8,"Homo.Economicus",14,14,9,64.2857142857143,64.2857142857143
8,"8",14,14,7,50,50
