"archetype_id","frequency"
1,1
7,1
16,1
20,1
21,3
22,2
23,2
28,1
30,1
33,1
37,1
38,2
39,1
40,1
43,1
46,1
48,1
54,1
55,1
57,1
66,1
71,1
73,1
78,1
80,1
83,1
88,1
91,1
92,3
96,1
103,1
105,2
106,1
108,2
109,2
110,1
113,1
117,2
120,2
129,1
130,2
135,1
138,1
140,1
151,1
156,1
159,1
169,1
171,1
174,1
180,1
184,1
185,3
186,1
189,2
193,1
194,6
198,1
206,1
218,1
220,1
226,1
228,1
230,1
235,1
240,1
241,1
242,1
243,1
245,5
246,1
252,1
256,1
259,1
264,1
277,1
278,3
279,1
280,1
281,1
284,3
285,1
288,1
290,1
297,1
303,1
306,1
307,1
311,1
320,1
321,1
324,1
335,1
337,1
338,1
340,1
346,1
348,1
352,11
357,1
358,2
365,1
369,1
370,2
372,1
382,1
383,3
391,1
392,1
393,1
398,2
403,1
412,1
413,1
414,1
416,1
425,1
426,1
433,1
435,1
438,1
441,1
442,1
447,1
452,1
459,1
460,1
461,1
462,1
464,1
468,1
470,1
471,1
477,1
480,1
485,1
487,1
488,1
489,1
514,1
515,1
516,1
520,1
521,4
524,1
525,1
527,1
530,1
532,2
534,1
543,1
547,3
550,1
551,5
552,2
555,1
560,1
563,2
566,1
570,1
573,1
574,1
577,1
579,1
582,1
587,1
589,1
602,1
606,1
610,3
613,1
622,13
623,1
627,1
629,1
637,2
645,1
647,1
653,1
654,1
655,1
660,1
668,1
676,1
677,1
679,1
680,1
682,1
683,1
684,1
685,1
688,1
690,1
691,1
693,1
702,1
704,1
705,1
712,2
720,1
725,1
731,1
732,1
735,1
739,2
740,3
741,1
742,1
743,2
747,1
750,1
751,1
755,1
757,1
765,1
766,1
768,1
771,1
774,1
776,1
779,1
790,2
797,2
801,1
809,2
813,1
814,1
816,1
819,12
826,1
828,1
829,1
830,1
831,2
837,1
840,1
852,1
855,1
860,2
866,2
870,1
871,1
876,2
877,1
883,1
884,1
889,1
892,1
895,1
901,1
902,1
904,1
905,1
907,1
920,1
921,1
924,1
930,1
935,1
941,1
944,1
946,3
951,2
959,1
962,1
964,1
967,1
968,1
969,1
976,1
979,1
980,1
985,1
987,1
989,1
990,1
994,1
997,1
1003,1
1006,1
1014,1
1016,1
1018,2
1024,1
1025,1
1035,1
1038,2
1042,1
1043,1
1047,1
1048,1
1049,1
1051,1
1053,1
1055,1
1058,1
1060,1
1062,1
1069,1
1070,1
1071,1
1081,1
1083,1
1085,1
1087,1
1088,1
1092,1
1101,1
1106,1
1111,5
1112,1
1113,1
1115,1
1117,1
1120,1
1124,1
1127,1
1128,1
1129,1
1130,1
1135,1
1136,1
1142,1
1144,1
1145,1
1147,2
1149,5
1150,1
1153,3
1158,1
1160,1
1162,1
1165,2
1174,1
1177,1
1180,2
1182,1
1185,1
1186,1
1191,2
1194,2
1199,1
1221,1
1227,1
1228,1
1237,1
1239,2
1244,1
1246,1
1249,1
1253,1
1254,5
1258,1
1265,1
1268,1
1270,1
1271,1
1274,1
1278,1
1283,1
1285,1
1287,1
1288,1
1296,1
1298,1
1303,2
1306,1
1309,1
1310,1
1312,1
1313,1
1322,1
1332,1
1334,1
1337,1
1350,1
1356,3
1359,1
1363,1
1366,2
1367,1
1372,1
1373,1
1374,1
1375,1
1377,1
1379,7
1383,2
1386,1
1390,1
1396,1
1397,1
1398,1
1408,1
1409,1
1413,2
1417,1
1419,1
1422,1
1424,4
1425,1
1431,1
1434,1
1437,2
1441,1
1443,1
1445,1
1452,4
1457,1
1461,1
1463,1
1467,1
1470,1
1474,1
1476,1
1477,1
1485,1
1487,1
1489,1
1494,1
1495,1
1496,1
1497,1
1504,1
1505,1
1506,1
1508,1
1515,2
1516,1
1518,1
1519,1
1525,1
1526,2
1530,1
1532,1
1533,1
1534,1
1538,7
1539,1
1542,1
1546,1
1549,13
1551,1
1555,10
1557,1
1573,1
1575,1
1576,1
1578,2
1580,1
1581,1
1582,1
1583,1
1584,1
1587,2
1588,1
1590,1
1594,1
1598,1
1600,1
1605,1
1607,1
1610,1
1612,2
1622,1
1624,1
1630,1
1633,1
1635,2
1643,1
1647,1
1651,1
1652,1
1653,1
1654,1
1659,1
1665,1
1669,1
1671,1
1675,1
1682,1
1689,4
1694,1
1695,1
1696,1
1697,3
1698,1
1700,1
1701,1
1703,1
1705,1
1706,1
1711,1
1713,1
1717,1
1720,1
1723,1
1729,1
1730,1
1735,2
1737,1
1738,1
1744,1
1747,1
1753,2
1757,1
1758,1
1761,1
1767,1
1768,3
1769,1
1773,1
1774,1
1775,1
1781,1
1790,1
1792,2
1793,1
1796,1
1801,1
1805,1
1809,1
1815,1
1817,1
1825,1
1831,1
1833,1
1835,5
1837,1
1839,3
1844,1
1846,1
1851,3
1852,1
1853,2
1855,1
1858,1
1870,3
1873,1
1878,1
1879,1
1886,1
1887,4
1889,1
1891,1
1892,1
1903,1
1904,1
1907,1
1912,1
1913,1
1917,1
1924,3
1929,1
1950,1
1952,1
1955,1
1957,1
1961,1
1962,2
1965,1
1974,1
1975,1
1980,1
1983,3
1984,1
1987,1
1989,2
1990,1
1993,1
1999,3
2000,1
2004,1
2006,1
2007,1
2015,1
2017,1
2018,1
2019,1
2026,18
2028,2
2035,1
2037,1
2041,3
2043,1
2046,1
2048,1
2049,1
2054,1
2056,1
2059,1
2060,1
2064,1
2065,1
2069,1
2071,1
2074,1
2079,1
2085,1
2097,1
2116,1
2118,1
2126,2
2128,1
2134,1
2135,1
2140,1
2142,1
2147,2
2149,1
2153,1
2157,1
2158,3
2160,3
2161,1
2162,1
2165,1
2169,3
2174,1
2177,1
2180,1
2185,1
2187,1
2188,1
2190,1
2191,1
2196,1
2198,2
2199,1
2207,1
2211,1
2212,1
2217,1
2222,1
2223,1
2225,1
2227,3
2229,1
2238,1
2248,1
2257,1
2265,1
2273,1
2277,1
2283,1
2284,1
2291,1
2292,4
2295,2
2298,2
2302,1
2310,1
2312,1
2317,1
2318,1
2321,1
2324,2
2326,1
2328,2
2330,1
2333,2
2340,1
2341,1
2347,1
2356,1
2357,1
2368,1
2370,1
2371,1
2372,1
2373,1
2375,1
2376,1
2379,1
2381,1
2383,1
2390,1
2392,1
2394,1
2396,1
2401,1
2402,1
2404,1
2410,1
2412,2
2413,2
2414,1
2416,1
2417,1
2425,1
2434,1
2435,1
2436,1
2443,1
2445,2
2446,1
2447,1
2451,1
2453,1
2454,1
2458,1
2460,1
2464,1
2466,1
2470,1
2472,1
2473,1
2474,1
2476,6
2481,1
2482,1
2487,2
2492,4
2495,1
2500,1
2501,1
2502,2
2503,4
2505,2
2509,1
2510,1
2513,1
2520,1
2521,1
2524,1
2526,1
2530,1
2532,1
2536,1
2538,1
2539,1
2540,1
2546,1
2548,1
2553,1
2560,1
2567,1
2572,1
2573,1
2577,1
2578,1
2582,3
2584,1
2591,2
2593,1
2594,1
2595,1
2599,1
2600,1
2602,1
2606,1
2615,1
2622,47
2624,1
2631,1
2637,1
2639,1
2641,1
2643,1
2645,1
2654,1
2659,2
2660,3
2667,1
2668,1
2678,1
2679,1
2680,1
2696,1
2698,2
2699,1
2701,2
2704,1
2705,1
2709,1
2713,1
2715,1
2725,2
2727,26
2731,1
2732,1
2735,1
2736,1
2737,3
2739,5
2742,1
2745,1
2751,1
2753,1
2755,1
2756,1
2762,1
2765,2
2784,1
2786,1
2787,1
2789,1
2790,3
2797,1
2798,2
2803,1
2804,1
2809,4
2812,2
2816,1
2818,3
2819,1
2820,1
2821,1
2823,1
2827,3
2840,1
2841,1
2842,2
2846,1
2854,1
2857,3
2861,1
2862,1
2869,1
2871,1
2876,1
2880,1
2882,1
2889,4
2890,2
2891,1
2894,1
2899,1
2905,1
2907,1
2910,1
2914,2
2915,13
2916,2
2925,1
